Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2018,9,1 ,,,,,s/p,s/p
2018,9,2 ,,,,,s/p,s/p
2018,9,3 ,,,,,s/p,s/p
2018,9,4 ,,,,,s/p,s/p
2018,9,5 ,,,,,2.5,2.5
2018,9,6 ,,,,,s/p,2.5
2018,9,7 ,,,,,s/p,2.5
2018,9,8 ,,,,,s/p,2.5
2018,9,9 ,,,,,s/p,2.5
2018,9,10 ,,,,,s/p,2.5
2018,9,11 ,,,,,s/p,2.5
2018,9,12 ,,,,,s/p,2.5
2018,9,13 ,,,,,s/p,2.5
2018,9,14 ,,,,,s/p,2.5
2018,9,15 ,,,,,s/p,2.5
2018,9,16 ,,,,,42.7,45.2
2018,9,17 ,,,,,43.1,88.3
2018,9,18 ,,,,,20.7,109.0
2018,9,19 ,,,,,5.5,114.5
2018,9,20 ,,,,,6.1,120.6
2018,9,21 ,,,,,3.4,124.0
2018,9,22 ,,,,,2.8,126.8
2018,9,23 ,,,,,s/p,126.8
2018,9,24 ,,,,,s/p,126.8
2018,9,25 ,,,,,s/p,126.8
2018,9,26 ,,,,,s/p,126.8
2018,9,27 ,,,,,s/p,126.8
2018,9,28 ,,,,,s/p,126.8
2018,9,29 ,,,,,s/p,126.8
2018,9,30 ,,,,,s/p,126.8
