Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2011,7,1 ,,,,,s/p,s/p
2011,7,2 ,,,,,s/p,s/p
2011,7,3 ,,,,,s/p,s/p
2011,7,4 ,,,,,s/p,s/p
2011,7,5 ,,,,,s/p,s/p
2011,7,6 ,,,,,s/p,s/p
2011,7,7 ,,,,,s/p,s/p
2011,7,8 ,,,,,s/p,s/p
2011,7,9 ,,,,,s/p,s/p
2011,7,10 ,,,,,s/p,s/p
2011,7,11 ,,,,,2.0,2.0
2011,7,12 ,,,,,s/p,2.0
2011,7,13 ,,,,,s/p,2.0
2011,7,14 ,,,,,25.5,27.5
2011,7,15 ,,,,,17.0,44.5
2011,7,16 ,,,,,s/p,44.5
2011,7,17 ,,,,,8.8,53.3
2011,7,18 ,,,,,s/p,53.3
2011,7,19 ,,,,,s/p,53.3
2011,7,20 ,,,,,s/p,53.3
2011,7,21 ,,,,,s/p,53.3
2011,7,22 ,,,,,s/p,53.3
2011,7,23 ,,,,,s/p,53.3
2011,7,24 ,,,,,12.2,65.5
2011,7,25 ,,,,,s/p,65.5
2011,7,26 ,,,,,s/p,65.5
2011,7,27 ,,,,,s/p,65.5
2011,7,28 ,,,,,8.0,73.5
2011,7,29 ,,,,,s/p,73.5
2011,7,30 ,,,,,4.0,77.5
2011,7,31 ,,,,,s/p,77.5
