Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
2021,2,1,13.0,21.7,16.1,15.9,22
2021,2,2,11.8,23.9,16.0,16.1,23
2021,2,3,11.5,29.1,16.5,17.6,19
2021,2,4,12.1,21.8,16.1,16.0,23
2021,2,5,13.5,20.2,15.5,15.7,23
2021,2,6,13.8,18.0,15.4,15.4,23
2021,2,7,14.7,23.2,17.5,17.7,23
2021,2,8,8.4,24.7,15.4,15.4,24
2021,2,9,9.0,26.4,17.7,16.6,22
2021,2,10,14.2,23.2,16.4,16.6,23
2021,2,11,14.5,19.5,16.3,16.3,24
2021,2,12,16.1,22.7,18.4,18.4,24
2021,2,13,14.6,20.4,17.0,17.0,24
2021,2,14,12.9,20.1,15.7,15.7,24
2021,2,15,13.4,20.1,15.5,15.7,23
2021,2,16,9.8,22.1,15.0,15.2,23
2021,2,17,12.4,23.6,16.8,16.8,24
2021,2,18,6.9,24.5,15.0,15.2,23
2021,2,19,8.0,28.6,16.8,16.8,24
2021,2,20,7.5,27.4,16.8,16.9,23
2021,2,21,6.6,25.4,15.4,15.6,23
2021,2,22,6.2,28.5,15.1,16.5,22
2021,2,23,7.6,30.4,17.9,18.0,23
2021,2,24,.,.,.,10.9,9
2021,2,25,13.9,23.6,18.8,20.3,7
2021,2,26,12.8,21.8,15.6,15.6,24
2021,2,27,11.6,26.9,16.1,16.2,23
2021,2,28,6.8,31.0,15.5,17.2,22
