Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
1997,5,1,12.5,16.0,14.3,,
1997,5,2,10.0,15.0,12.5,,
1997,5,3,9.5,14.5,12.0,,
1997,5,4,11.0,15.5,13.3,,
1997,5,5,10.2,16.0,13.1,,
1997,5,6,12.3,13.0,12.7,,
1997,5,7,11.3,14.5,12.9,,
1997,5,8,13.4,15.0,14.2,,
1997,5,9,15.0,18.0,16.5,,
1997,5,10,14.5,19.0,16.8,,
1997,5,11,14.0,20.0,17.0,,
1997,5,12,10.2,17.5,13.8,,
1997,5,13,12.3,20.0,16.2,,
1997,5,14,14.5,22.0,18.3,,
1997,5,15,13.5,23.0,18.3,,
1997,5,16,14.0,23.5,18.8,,
1997,5,17,15.0,24.0,19.5,,
1997,5,18,16.0,25.0,20.5,,
1997,5,19,13.0,27.0,20.0,,
1997,5,20,14.5,24.0,19.3,,
1997,5,21,17.7,26.0,21.9,,
1997,5,22,16.0,25.0,20.5,,
1997,5,23,14.0,23.0,18.5,,
1997,5,24,15.5,25.0,20.3,,
1997,5,25,16.0,24.0,20.0,,
1997,5,26,17.5,26.0,21.8,,
1997,5,27,18.0,29.0,23.5,,
1997,5,28,16.3,25.5,20.9,,
1997,5,29,17.0,26.0,21.5,,
1997,5,30,14.0,24.0,19.0,,
1997,5,31,16.0,25.0,20.5,,
