Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
1993,12,1,14.2,19.8,17.0,,
1993,12,2,12.0,20.0,16.0,,
1993,12,3,13.0,22.0,17.5,,
1993,12,4,14.0,22.1,18.1,,
1993,12,5,11.4,19.5,15.4,,
1993,12,6,12.4,20.6,16.5,,
1993,12,7,13.6,21.4,17.5,,
1993,12,8,11.0,20.0,15.5,,
1993,12,9,10.4,18.0,14.2,,
1993,12,10,14.4,22.0,18.2,,
1993,12,11,13.0,20.0,16.5,,
1993,12,12,12.0,21.0,16.5,,
1993,12,13,13.4,22.0,17.7,,
1993,12,14,11.0,18.0,14.5,,
1993,12,15,12.4,21.0,16.7,,
1993,12,16,14.0,26.0,20.0,,
1993,12,17,13.4,24.0,18.7,,
1993,12,18,15.4,26.0,20.7,,
1993,12,19,12.0,20.0,16.0,,
1993,12,20,13.0,21.0,17.0,,
1993,12,21,11.0,20.0,15.5,,
1993,12,22,10.4,19.0,14.7,,
1993,12,23,12.4,21.0,16.7,,
1993,12,24,13.0,22.0,17.5,,
1993,12,25,14.0,23.0,18.5,,
1993,12,26,12.0,21.0,16.5,,
1993,12,27,12.4,22.0,17.2,,
1993,12,28,13.5,24.0,18.8,,
1993,12,29,15.0,25.0,20.0,,
1993,12,30,15.4,24.5,19.9,,
1993,12,31,16.6,26.0,21.3,,
