Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2021,1,1 ,s/p,s/p,s/p,s/p,s/p,s/p
2021,1,2 ,s/p,s/p,s/p,,s/p,s/p
2021,1,3 ,s/p,s/p,s/p,s/p,s/p,s/p
2021,1,4 ,s/p,s/p,s/p,s/p,s/p,s/p
2021,1,5 ,,,,,,
2021,1,6 ,s/p,s/p,0.5,s/p,0.5,0.5
2021,1,7 ,s/p,s/p,s/p,s/p,s/p,0.5
2021,1,8 ,s/p,s/p,s/p,s/p,s/p,0.5
2021,1,9 ,1.0,2.8,8.9,,12.7,13.2
2021,1,10 ,1.4,5.4,1.8,2.6,11.2,24.4
2021,1,11 ,s/p,s/p,s/p,s/p,s/p,24.4
2021,1,12 ,s/p,s/p,s/p,s/p,s/p,24.4
2021,1,13 ,s/p,s/p,s/p,s/p,s/p,24.4
2021,1,14 ,s/p,1.3,1.8,1.5,4.6,29.0
2021,1,15 ,2.5,s/p,s/p,s/p,2.5,31.5
2021,1,16 ,s/p,s/p,s/p,,s/p,31.5
2021,1,17 ,s/p,s/p,s/p,s/p,s/p,31.5
2021,1,18 ,s/p,,,,s/p,31.5
2021,1,19 ,s/p,s/p,s/p,s/p,s/p,31.5
2021,1,20 ,s/p,s/p,s/p,s/p,s/p,31.5
2021,1,21 ,s/p,s/p,s/p,s/p,s/p,31.5
2021,1,22 ,s/p,s/p,s/p,0.1,0.1,31.6
2021,1,23 ,0.1,s/p,s/p,s/p,0.1,31.7
2021,1,24 ,s/p,s/p,s/p,s/p,s/p,31.7
2021,1,25 ,0.3,s/p,s/p,s/p,0.3,32.0
2021,1,26 ,s/p,s/p,s/p,s/p,s/p,32.0
2021,1,27 ,0.8,2.8,s/p,0.1,3.7,35.7
2021,1,28 ,2.8,0.1,s/p,s/p,2.9,38.6
2021,1,29 ,s/p,s/p,s/p,s/p,s/p,38.6
2021,1,30 ,s/p,s/p,s/p,,s/p,38.6
2021,1,31 ,s/p,s/p,s/p,s/p,s/p,38.6
