Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
1991,12,1,.,.,.,.,.
1991,12,2,11.2,25.2,18.2,19.3,10
1991,12,3,12.5,20.0,16.3,16.4,10
1991,12,4,11.2,17.0,14.1,13.9,10
1991,12,5,9.4,14.0,11.7,12.4,10
1991,12,6,5.2,15.3,10.3,12.4,10
1991,12,7,6.8,.,.,10.5,4
1991,12,8,.,.,.,.,.
1991,12,9,5.4,13.5,9.5,11.5,10
1991,12,10,5.3,15.2,10.3,13.0,10
1991,12,11,10.0,17.3,13.6,15.3,10
1991,12,12,9.4,16.6,13.0,14.0,10
1991,12,13,7.7,14.7,11.2,12.9,10
1991,12,14,6.2,.,.,13.2,4
1991,12,15,.,.,.,.,.
1991,12,16,5.3,12.9,9.1,11.4,10
1991,12,17,7.8,13.2,10.5,12.2,10
1991,12,18,12.0,16.4,14.2,14.5,10
1991,12,19,11.2,17.5,14.3,15.2,10
1991,12,20,11.0,14.9,12.9,12.8,10
1991,12,21,9.3,.,.,14.5,4
1991,12,22,.,.,.,.,.
1991,12,23,5.7,14.9,10.3,12.3,10
1991,12,24,5.6,14.4,10.0,12.4,10
1991,12,25,.,.,.,.,.
1991,12,26,5.6,20.0,12.8,16.3,10
1991,12,27,11.6,19.8,15.7,16.9,10
1991,12,28,10.0,.,.,13.4,4
1991,12,29,.,.,.,.,.
1991,12,30,7.5,14.1,10.8,13.1,10
1991,12,31,7.0,17.0,12.0,14.4,10
