Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
1964.0,1.0,1.0,9.8,29.4,19.6,21.1,15.0
1964.0,1.0,2.0,10.8,32.4,21.6,23.1,15.0
1964.0,1.0,3.0,10.2,32.0,21.1,22.9,15.0
1964.0,1.0,4.0,11.8,33.4,22.6,23.8,15.0
1964.0,1.0,5.0,11.2,24.4,17.8,18.8,15.0
1964.0,1.0,6.0,7.4,30.8,19.1,21.6,15.0
1964.0,1.0,7.0,9.9,31.8,20.8,22.6,15.0
1964.0,1.0,8.0,11.4,30.8,21.1,22.8,15.0
1964.0,1.0,9.0,11.8,32.0,21.9,23.7,15.0
1964.0,1.0,10.0,11.6,30.6,21.1,22.6,15.0
1964.0,1.0,11.0,11.4,30.6,21.0,21.1,16.0
1964.0,1.0,12.0,12.0,33.2,22.6,23.8,15.0
1964.0,1.0,13.0,9.8,31.6,20.7,22.7,15.0
1964.0,1.0,14.0,9.2,30.5,19.8,22.5,15.0
1964.0,1.0,15.0,10.2,30.4,20.3,22.3,15.0
1964.0,1.0,16.0,10.8,33.1,21.9,22.8,16.0
1964.0,1.0,17.0,9.8,31.8,20.8,22.7,15.0
1964.0,1.0,18.0,9.6,25.8,17.7,18.2,15.0
1964.0,1.0,19.0,11.8,24.0,17.9,18.2,15.0
1964.0,1.0,20.0,8.2,28.9,18.5,19.2,15.0
1964.0,1.0,21.0,12.4,32.8,22.6,24.3,15.0
1964.0,1.0,22.0,12.8,31.4,22.1,22.8,15.0
1964.0,1.0,23.0,12.4,27.4,19.9,21.6,15.0
1964.0,1.0,24.0,13.2,26.8,20.0,20.9,15.0
1964.0,1.0,25.0,15.2,26.2,20.7,21.0,15.0
1964.0,1.0,26.0,8.7,25.4,17.0,18.7,15.0
1964.0,1.0,27.0,6.9,27.9,17.4,18.5,15.0
1964.0,1.0,28.0,8.0,23.2,15.6,17.8,15.0
1964.0,1.0,29.0,7.6,26.0,16.8,18.6,15.0
1964.0,1.0,30.0,13.1,30.2,21.7,22.3,15.0
1964.0,1.0,31.0,11.5,27.6,19.6,20.3,15.0
