Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
1960,9,1,-0.8,16.8,8.0,8.0,16
1960,9,2,-0.2,19.3,9.5,10.5,16
1960,9,3,2.6,18.9,10.7,10.8,16
1960,9,4,2.1,23.5,12.8,13.6,16
1960,9,5,7.6,14.6,11.1,11.1,16
1960,9,6,6.2,15.2,10.7,11.7,16
1960,9,7,1.6,16.6,9.1,9.4,16
1960,9,8,1.1,18.6,9.9,10.1,16
1960,9,9,5.2,13.0,9.1,9.3,16
1960,9,10,1.6,15.8,8.7,8.8,16
1960,9,11,0.0,15.7,7.8,9.2,16
1960,9,12,1.0,16.1,8.6,8.9,16
1960,9,13,-0.1,16.8,8.3,8.4,16
1960,9,14,0.8,20.8,10.8,11.5,16
1960,9,15,3.0,20.9,11.9,11.3,16
1960,9,16,3.1,20.6,11.9,12.7,16
1960,9,17,0.9,19.6,10.3,11.0,16
1960,9,18,8.5,14.2,11.3,11.4,16
1960,9,19,7.8,17.6,12.7,12.6,16
1960,9,20,5.0,18.7,11.9,11.6,16
1960,9,21,0.1,20.6,10.4,11.9,16
1960,9,22,2.2,14.8,8.5,8.8,16
1960,9,23,3.2,13.4,8.3,8.3,16
1960,9,24,0.1,16.2,8.2,9.6,16
1960,9,25,1.2,19.3,10.2,10.7,16
1960,9,26,4.6,21.2,12.9,13.0,16
1960,9,27,5.0,22.6,13.8,14.5,16
1960,9,28,4.9,20.0,12.5,12.4,16
1960,9,29,5.1,23.2,14.2,13.7,16
1960,9,30,3.9,20.1,12.0,13.2,16
