Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1978,3,1 ,0.0,0.0,0.0,0.0,0.0,0.0
1978,3,2 ,0.0,0.0,s/p,s/p,0.0,0.0
1978,3,3 ,s/p,s/p,0.0,0.0,0.0,0.0
1978,3,4 ,0.0,0.0,0.0,0.0,0.0,0.0
1978,3,5 ,0.0,0.0,0.0,s/p,0.0,0.0
1978,3,6 ,s/p,s/p,0.0,0.0,0.0,0.0
1978,3,7 ,0.0,0.0,0.0,0.0,0.0,0.0
1978,3,8 ,0.0,0.0,s/p,s/p,0.0,0.0
1978,3,9 ,0.0,s/p,0.0,0.0,0.0,0.0
1978,3,10 ,0.0,0.0,0.0,0.0,0.0,0.0
1978,3,11 ,0.0,0.0,s/p,s/p,0.0,0.0
1978,3,12 ,s/p,s/p,0.0,0.0,0.0,0.0
1978,3,13 ,0.0,0.0,0.0,0.0,0.0,0.0
1978,3,14 ,0.0,0.0,s/p,s/p,0.0,0.0
1978,3,15 ,s/p,s/p,0.0,0.0,0.0,0.0
1978,3,16 ,0.0,0.0,0.0,0.0,0.0,0.0
1978,3,17 ,0.0,0.0,s/p,s/p,0.0,0.0
1978,3,18 ,s/p,s/p,0.0,0.0,0.0,0.0
1978,3,19 ,0.0,0.0,0.0,0.0,0.0,0.0
1978,3,20 ,0.0,0.0,s/p,s/p,0.0,0.0
1978,3,21 ,s/p,s/p,0.0,0.0,0.0,0.0
1978,3,22 ,0.0,0.0,0.0,0.0,0.0,0.0
1978,3,23 ,0.0,0.0,s/p,s/p,0.0,0.0
1978,3,24 ,s/p,s/p,0.0,0.0,0.0,0.0
1978,3,25 ,0.0,0.0,0.0,0.0,0.0,0.0
1978,3,26 ,0.0,0.0,s/p,s/p,0.0,0.0
1978,3,27 ,s/p,s/p,0.0,0.0,0.0,0.0
1978,3,28 ,0.0,0.0,0.0,0.0,0.0,0.0
1978,3,29 ,0.0,0.0,0.0,0.0,0.0,0.0
1978,3,30 ,0.0,0.0,s/p,s/p,0.0,0.0
1978,3,31 ,s/p,s/p,0.0,0.0,0.0,0.0
