Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
2016,1,1,18.3,23.0,20.9,20.9,24
2016,1,2,19.5,23.7,21.6,21.6,24
2016,1,3,18.4,23.4,21.3,21.3,24
2016,1,4,18.7,23.8,21.5,21.5,24
2016,1,5,20.0,24.9,22.0,22.0,24
2016,1,6,18.8,24.2,21.9,21.9,24
2016,1,7,19.1,24.6,21.7,21.7,24
2016,1,8,20.2,24.7,22.4,22.4,24
2016,1,9,20.9,24.6,22.1,22.1,24
2016,1,10,20.2,24.2,22.0,22.0,24
2016,1,11,20.7,24.7,22.2,22.2,24
2016,1,12,18.9,24.2,21.3,21.3,24
2016,1,13,18.6,24.1,21.5,21.5,24
2016,1,14,18.6,24.3,21.3,21.3,24
2016,1,15,19.2,25.0,21.7,21.7,24
2016,1,16,19.0,25.2,21.7,21.7,24
2016,1,17,21.3,25.1,22.8,22.8,24
2016,1,18,20.3,25.3,22.9,22.9,24
2016,1,19,19.6,24.7,22.2,22.2,24
2016,1,20,20.5,24.9,22.5,22.5,24
2016,1,21,21.9,25.1,23.1,23.1,24
2016,1,22,19.7,25.2,22.6,22.6,24
2016,1,23,21.1,25.9,23.2,23.2,24
2016,1,24,19.2,24.9,22.7,22.7,24
2016,1,25,22.0,26.3,23.8,23.8,24
2016,1,26,21.2,27.2,24.0,24.0,24
2016,1,27,19.9,25.3,23.0,23.0,24
2016,1,28,19.8,25.5,22.9,22.9,24
2016,1,29,20.4,26.4,23.9,23.9,24
2016,1,30,21.7,27.2,24.0,24.0,24
2016,1,31,21.8,26.8,24.1,24.1,24
