Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2021,8,1 ,s/p,s/p,s/p,s/p,s/p,s/p
2021,8,2 ,s/p,0.7,s/p,0.7,1.4,1.4
2021,8,3 ,s/p,s/p,s/p,s/p,s/p,1.4
2021,8,4 ,s/p,s/p,s/p,s/p,s/p,1.4
2021,8,5 ,s/p,0.1,3.6,3.9,7.6,9.0
2021,8,6 ,0.4,1.0,0.1,1.5,3.0,12.0
2021,8,7 ,1.2,1.2,s/p,s/p,2.4,14.4
2021,8,8 ,s/p,s/p,s/p,s/p,s/p,14.4
2021,8,9 ,s/p,s/p,s/p,s/p,s/p,14.4
2021,8,10 ,s/p,s/p,s/p,s/p,s/p,14.4
2021,8,11 ,s/p,s/p,s/p,s/p,s/p,14.4
2021,8,12 ,s/p,s/p,s/p,0.1,0.1,14.5
2021,8,13 ,0.2,1.9,s/p,0.0,2.1,16.6
2021,8,14 ,0.0,s/p,0.2,s/p,0.2,16.8
2021,8,15 ,s/p,s/p,2.4,s/p,2.4,19.2
2021,8,16 ,0.0,s/p,s/p,0.0,0.0,19.2
2021,8,17 ,1.8,1.4,4.6,7.6,15.4,34.6
2021,8,18 ,0.6,s/p,s/p,s/p,0.6,35.2
2021,8,19 ,0.0,s/p,s/p,s/p,0.0,35.2
2021,8,20 ,s/p,s/p,s/p,s/p,s/p,35.2
2021,8,21 ,s/p,s/p,s/p,s/p,s/p,35.2
2021,8,22 ,3.9,6.5,3.0,0.0,13.4,48.6
2021,8,23 ,2.0,s/p,s/p,s/p,2.0,50.6
2021,8,24 ,s/p,s/p,s/p,s/p,s/p,50.6
2021,8,25 ,s/p,s/p,s/p,s/p,s/p,50.6
2021,8,26 ,s/p,s/p,s/p,s/p,s/p,50.6
2021,8,27 ,s/p,5.6,1.0,s/p,6.6,57.2
2021,8,28 ,s/p,s/p,s/p,s/p,s/p,57.2
2021,8,29 ,s/p,s/p,s/p,s/p,s/p,57.2
2021,8,30 ,s/p,s/p,s/p,s/p,s/p,57.2
2021,8,31 ,0.8,s/p,s/p,s/p,0.8,58.0
