Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
2016.0,3.0,1.0,1.0,20.6,10.0,10.0,24.0
2016.0,3.0,2.0,2.5,20.2,10.4,10.4,24.0
2016.0,3.0,3.0,1.0,21.4,10.9,10.9,24.0
2016.0,3.0,4.0,-0.5,21.3,10.6,10.6,24.0
2016.0,3.0,5.0,-2.7,19.0,9.0,9.0,24.0
2016.0,3.0,6.0,-1.1,19.6,8.6,8.6,24.0
2016.0,3.0,7.0,-1.8,20.4,8.7,8.7,24.0
2016.0,3.0,8.0,-1.5,21.4,9.0,9.0,24.0
2016.0,3.0,9.0,-1.1,21.3,9.6,9.6,24.0
2016.0,3.0,10.0,0.0,19.3,8.7,8.7,24.0
2016.0,3.0,11.0,-0.7,20.8,9.0,9.0,24.0
2016.0,3.0,12.0,2.1,19.8,9.7,9.2,23.0
2016.0,3.0,13.0,-1.5,20.3,8.5,8.5,24.0
2016.0,3.0,14.0,-0.2,18.3,8.9,8.9,24.0
2016.0,3.0,15.0,-0.1,19.4,9.3,9.3,24.0
2016.0,3.0,16.0,0.2,19.3,10.2,10.2,24.0
2016.0,3.0,17.0,-0.9,19.3,9.2,8.9,23.0
2016.0,3.0,18.0,-2.2,19.5,9.6,9.6,24.0
2016.0,3.0,19.0,-2.6,18.7,8.7,8.7,24.0
2016.0,3.0,20.0,-0.2,21.3,9.9,9.9,24.0
2016.0,3.0,21.0,3.1,21.3,11.6,11.6,24.0
2016.0,3.0,22.0,1.7,21.4,11.0,11.0,24.0
2016.0,3.0,23.0,-1.0,21.3,10.1,10.1,24.0
2016.0,3.0,24.0,-6.1,19.6,8.5,8.5,24.0
2016.0,3.0,25.0,-6.0,22.0,8.0,8.0,24.0
2016.0,3.0,26.0,-5.0,21.2,8.5,8.5,24.0
2016.0,3.0,27.0,-4.1,19.8,8.4,8.4,24.0
2016.0,3.0,28.0,-0.1,21.1,9.4,9.4,24.0
2016.0,3.0,29.0,-5.2,21.0,7.8,7.8,24.0
2016.0,3.0,30.0,-5.9,20.8,7.6,7.6,24.0
2016.0,3.0,31.0,-2.9,19.2,8.8,8.8,24.0
