,Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
0,2017,5,1,-6.2,17.3,5.0,5.0,24
1,2017,5,2,-10.7,16.7,3.8,3.8,24
2,2017,5,3,-7.7,17.3,5.7,5.7,24
3,2017,5,4,-7.2,16.7,5.4,5.4,24
4,2017,5,5,-10.0,16.8,4.4,4.4,24
5,2017,5,6,-7.0,17.1,5.4,5.4,24
6,2017,5,7,-6.1,15.0,5.3,5.3,24
7,2017,5,8,-8.4,15.8,4.2,4.2,24
8,2017,5,9,-7.4,18.2,5.0,5.0,24
9,2017,5,10,0.4,16.7,6.8,6.8,24
10,2017,5,11,-3.0,15.3,4.7,4.7,24
11,2017,5,12,-9.1,17.6,3.4,3.4,24
12,2017,5,13,-10.6,16.5,4.2,4.2,24
13,2017,5,14,-12.6,17.3,2.6,2.6,24
14,2017,5,15,-9.1,16.7,4.8,4.8,24
15,2017,5,16,-5.5,15.2,4.3,4.3,24
16,2017,5,17,-7.9,14.4,3.7,3.7,24
17,2017,5,18,-3.2,11.9,4.5,4.5,24
18,2017,5,19,-11.7,13.4,1.2,1.2,24
19,2017,5,20,-7.0,13.8,3.5,3.5,24
20,2017,5,21,-9.8,16.7,2.8,2.8,24
21,2017,5,22,-0.2,12.3,4.9,4.9,24
22,2017,5,23,-2.5,12.2,4.4,4.4,24
23,2017,5,24,-2.8,13.1,5.3,5.3,24
24,2017,5,25,-5.4,18.1,5.4,5.4,24
25,2017,5,26,,12.3,,7.7,17
26,2017,5,27,,15.7,,9.8,9
27,2017,5,28,-1.0,14.5,5.5,5.5,24
28,2017,5,29,-3.3,12.6,4.9,4.9,24
29,2017,5,30,0.4,13.4,4.7,4.7,24
30,2017,5,31,-13.4,15.3,0.8,0.8,24
