,Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
0,2013,12,1,-0.1,22.6,10.3,10.3,24
1,2013,12,2,0.8,22.4,11.7,11.7,24
2,2013,12,3,-2.1,21.3,9.8,9.8,24
3,2013,12,4,-1.1,21.4,8.4,8.4,24
4,2013,12,5,-0.6,22.1,10.1,10.1,24
5,2013,12,6,2.0,18.2,7.7,7.7,24
6,2013,12,7,2.1,18.5,7.2,7.2,24
7,2013,12,8,0.1,15.6,7.2,7.2,24
8,2013,12,9,2.7,16.5,7.8,7.8,24
9,2013,12,10,2.7,17.7,6.6,6.6,24
10,2013,12,11,3.6,15.9,7.0,7.0,24
11,2013,12,12,1.8,17.2,8.3,8.3,24
12,2013,12,13,-1.5,17.9,7.7,7.7,24
13,2013,12,14,0.2,19.6,8.4,8.4,24
14,2013,12,15,,,,6.8,6
15,2013,12,16,,19.4,,13.3,10
16,2013,12,17,1.4,18.1,9.0,9.0,24
17,2013,12,18,1.3,18.5,9.3,9.3,24
18,2013,12,19,-0.4,19.6,8.9,8.9,24
19,2013,12,20,-1.1,20.8,9.3,9.4,23
20,2013,12,21,3.2,17.4,9.1,9.1,24
21,2013,12,22,1.2,20.1,9.6,9.6,24
22,2013,12,23,1.5,20.8,9.8,9.8,24
23,2013,12,24,0.4,17.5,8.4,8.4,24
24,2013,12,25,-0.4,19.0,7.4,7.4,24
25,2013,12,26,-0.9,19.7,8.4,8.4,24
26,2013,12,27,-0.4,19.6,7.7,7.7,24
27,2013,12,28,4.2,15.8,8.1,8.1,24
28,2013,12,29,3.2,17.4,8.1,8.1,24
29,2013,12,30,4.4,13.7,7.2,7.2,24
30,2013,12,31,1.6,14.1,7.4,7.4,24
