,Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
0,2014,4,1,-5.4,16.0,4.2,4.2,24
1,2014,4,2,-3.5,17.4,5.3,5.3,24
2,2014,4,3,-0.4,19.0,7.8,7.8,24
3,2014,4,4,-1.0,18.3,7.8,7.8,24
4,2014,4,5,3.4,17.2,8.8,8.8,24
5,2014,4,6,-1.0,18.8,7.5,7.5,24
6,2014,4,7,-1.1,18.1,8.2,8.2,24
7,2014,4,8,-0.8,18.9,8.1,8.1,24
8,2014,4,9,-1.0,16.3,6.4,6.4,24
9,2014,4,10,-0.2,14.4,5.6,5.6,24
10,2014,4,11,-3.4,17.9,6.3,6.3,24
11,2014,4,12,-9.7,17.3,4.6,4.6,24
12,2014,4,13,-6.0,17.0,6.2,6.2,24
13,2014,4,14,-3.4,19.3,7.9,7.9,24
14,2014,4,15,-3.4,19.4,7.5,7.5,24
15,2014,4,16,-2.9,18.4,7.5,7.5,24
16,2014,4,17,-2.3,19.1,8.4,7.9,23
17,2014,4,18,-2.1,18.2,7.4,7.4,24
18,2014,4,19,-2.3,17.8,6.9,6.9,24
19,2014,4,20,-4.3,18.0,6.7,6.7,24
20,2014,4,21,-3.0,17.4,6.8,6.8,24
21,2014,4,22,-6.8,17.1,5.0,5.0,24
22,2014,4,23,-6.3,15.7,5.0,5.0,24
23,2014,4,24,-6.2,17.6,5.7,2.3,18
24,2014,4,25,-7.1,16.7,5.2,5.2,24
25,2014,4,26,-4.3,14.9,4.8,4.8,24
26,2014,4,27,-11.4,16.5,3.6,3.6,24
27,2014,4,28,-8.9,,4.7,4.5,23
28,2014,4,29,-6.4,17.4,5.5,6.3,21
29,2014,4,30,-2.4,15.3,6.3,6.3,24
