Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1987,7,1 ,,,,,s/p,s/p
1987,7,2 ,,,,,s/p,s/p
1987,7,3 ,,,,,s/p,s/p
1987,7,4 ,,,,,s/p,s/p
1987,7,5 ,,,,,s/p,s/p
1987,7,6 ,,,,,s/p,s/p
1987,7,7 ,,,,,s/p,s/p
1987,7,8 ,,,,,s/p,s/p
1987,7,9 ,,,,,s/p,s/p
1987,7,10 ,,,,,32.0,32.0
1987,7,11 ,,,,,s/p,32.0
1987,7,12 ,,,,,s/p,32.0
1987,7,13 ,,,,,s/p,32.0
1987,7,14 ,,,,,s/p,32.0
1987,7,15 ,,,,,4.4,36.4
1987,7,16 ,,,,,82.2,118.6
1987,7,17 ,,,,,70.1,188.7
1987,7,18 ,,,,,s/p,188.7
1987,7,19 ,,,,,s/p,188.7
1987,7,20 ,,,,,s/p,188.7
1987,7,21 ,,,,,s/p,188.7
1987,7,22 ,,,,,20.1,208.8
1987,7,23 ,,,,,s/p,208.8
1987,7,24 ,,,,,1.3,210.1
1987,7,25 ,,,,,80.3,290.4
1987,7,26 ,,,,,75.3,365.7
1987,7,27 ,,,,,s/p,365.7
1987,7,28 ,,,,,s/p,365.7
1987,7,29 ,,,,,5.2,370.9
1987,7,30 ,,,,,s/p,370.9
1987,7,31 ,,,,,s/p,370.9
