Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
1986,6,1,2.8,20.4,10.5,10.5,24
1986,6,2,7.7,10.4,9.1,9.1,24
1986,6,3,5.2,14.9,9.3,9.3,24
1986,6,4,8.4,10.4,9.3,9.3,24
1986,6,5,2.4,13.8,7.7,7.7,24
1986,6,6,-0.4,15.6,7.1,7.1,24
1986,6,7,5.4,12.2,8.5,8.5,24
1986,6,8,5.6,9.7,7.4,7.4,24
1986,6,9,8.2,12.8,10.7,10.7,24
1986,6,10,9.2,14.4,10.8,10.8,24
1986,6,11,8.2,18.6,12.2,12.2,24
1986,6,12,11.0,16.4,13.3,13.3,24
1986,6,13,11.6,15.4,12.8,12.8,24
1986,6,14,7.2,11.6,9.8,9.8,24
1986,6,15,7.8,15.0,10.4,10.4,24
1986,6,16,11.0,14.4,12.2,12.2,24
1986,6,17,10.5,14.8,13.0,13.0,24
1986,6,18,10.5,15.0,12.6,12.6,24
1986,6,19,7.7,17.6,12.1,12.1,24
1986,6,20,6.4,17.4,11.7,11.7,24
1986,6,21,9.8,11.8,11.3,11.3,24
1986,6,22,5.6,12.0,8.0,8.0,24
1986,6,23,4.2,12.6,7.3,7.3,24
1986,6,24,1.1,16.0,6.7,6.7,24
1986,6,25,1.5,16.2,8.9,8.9,24
1986,6,26,2.0,15.6,8.0,8.0,24
1986,6,27,1.2,6.4,4.6,4.6,24
1986,6,28,4.6,8.3,5.7,5.7,24
1986,6,29,3.0,7.6,5.6,5.6,24
1986,6,30,-0.4,15.8,7.5,7.5,24
