Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2016,7,1 ,s/p,s/p,,s/p,s/p,s/p
2016,7,2 ,3.4,4.6,,5.2,13.2,13.2
2016,7,3 ,0.6,s/p,,s/p,0.6,13.8
2016,7,4 ,s/p,s/p,,s/p,s/p,13.8
2016,7,5 ,s/p,s/p,,s/p,s/p,13.8
2016,7,6 ,s/p,s/p,,s/p,s/p,13.8
2016,7,7 ,s/p,s/p,,s/p,s/p,13.8
2016,7,8 ,1.8,12.1,,0.2,14.1,27.9
2016,7,9 ,5.2,1.9,,2.2,9.3,37.2
2016,7,10 ,s/p,0.8,,0.9,1.7,38.9
2016,7,11 ,s/p,1.1,,s/p,1.1,40.0
2016,7,12 ,6.5,9.8,,21.7,38.0,78.0
2016,7,13 ,5.1,s/p,,s/p,5.1,83.1
2016,7,14 ,s/p,s/p,,s/p,s/p,83.1
2016,7,15 ,s/p,s/p,,s/p,s/p,83.1
2016,7,16 ,s/p,6.4,,6.2,12.6,95.7
2016,7,17 ,s/p,s/p,,s/p,s/p,95.7
2016,7,18 ,s/p,s/p,,1.2,1.2,96.9
2016,7,19 ,s/p,3.5,,0.3,3.8,100.7
2016,7,20 ,s/p,s/p,,0.5,0.5,101.2
2016,7,21 ,s/p,0.4,,1.3,1.7,102.9
2016,7,22 ,2.4,s/p,,6.8,9.2,112.1
2016,7,23 ,0.9,0.1,,7.1,8.1,120.2
2016,7,24 ,0.5,s/p,,s/p,0.5,120.7
2016,7,25 ,s/p,s/p,,s/p,s/p,120.7
2016,7,26 ,s/p,s/p,,s/p,s/p,120.7
2016,7,27 ,1.1,5.2,,0.8,7.1,127.8
2016,7,28 ,1.6,s/p,,s/p,1.6,129.4
2016,7,29 ,s/p,s/p,,s/p,s/p,129.4
2016,7,30 ,1.8,0.2,,2.3,4.3,133.7
2016,7,31 ,2.9,s/p,,s/p,2.9,136.6
