Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2013,7,1 ,s/p,s/p,,s/p,s/p,s/p
2013,7,2 ,7.4,1.8,,1.4,10.6,10.6
2013,7,3 ,3.0,s/p,,s/p,3.0,13.6
2013,7,4 ,0.2,s/p,,0.2,0.4,14.0
2013,7,5 ,0.2,s/p,,s/p,0.2,14.2
2013,7,6 ,s/p,s/p,,s/p,s/p,14.2
2013,7,7 ,s/p,0.6,,8.4,9.0,23.2
2013,7,8 ,6.4,4.2,,7.4,18.0,41.2
2013,7,9 ,s/p,0.2,,8.8,9.0,50.2
2013,7,10 ,1.0,0.6,,0.2,1.8,52.0
2013,7,11 ,s/p,s/p,,0.2,0.2,52.2
2013,7,12 ,0.0,0.2,,0.2,0.4,52.6
2013,7,13 ,0.0,0.0,,0.2,0.2,52.8
2013,7,14 ,s/p,0.0,,0.2,0.2,53.0
2013,7,15 ,s/p,s/p,,s/p,s/p,53.0
2013,7,16 ,s/p,s/p,,0.0,0.0,53.0
2013,7,17 ,1.2,s/p,,1.0,2.2,55.2
2013,7,18 ,0.2,s/p,,s/p,0.2,55.4
2013,7,19 ,s/p,s/p,,0.2,0.2,55.6
2013,7,20 ,0.2,0.2,,s/p,0.4,56.0
2013,7,21 ,s/p,s/p,,s/p,s/p,56.0
2013,7,22 ,1.0,0.0,,1.4,2.4,58.4
2013,7,23 ,1.2,0.4,,0.4,2.0,60.4
2013,7,24 ,s/p,0.2,,0.0,0.2,60.6
2013,7,25 ,0.2,s/p,,11.0,11.2,71.8
2013,7,26 ,1.8,s/p,,s/p,1.8,73.6
2013,7,27 ,s/p,s/p,,0.2,0.2,73.8
2013,7,28 ,s/p,s/p,,0.2,0.2,74.0
2013,7,29 ,s/p,0.0,,0.0,0.0,74.0
2013,7,30 ,s/p,0.2,,0.4,0.6,74.6
2013,7,31 ,s/p,s/p,,1.8,1.8,76.4
