Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2010,10,1 ,s/p,s/p,s/p,s/p,s/p,s/p
2010,10,2 ,s/p,s/p,s/p,s/p,s/p,s/p
2010,10,3 ,s/p,s/p,s/p,0.2,0.2,0.2
2010,10,4 ,s/p,8.6,s/p,3.4,12.0,12.2
2010,10,5 ,0.2,0.2,s/p,0.6,1.0,13.2
2010,10,6 ,s/p,0.4,s/p,s/p,0.4,13.6
2010,10,7 ,s/p,s/p,s/p,0.2,0.2,13.8
2010,10,8 ,s/p,s/p,s/p,s/p,s/p,13.8
2010,10,9 ,s/p,s/p,s/p,s/p,s/p,13.8
2010,10,10 ,s/p,s/p,s/p,0.6,0.6,14.4
2010,10,11 ,s/p,0.0,s/p,3.8,3.8,18.2
2010,10,12 ,0.8,0.2,s/p,s/p,1.0,19.2
2010,10,13 ,2.0,4.6,s/p,1.4,8.0,27.2
2010,10,14 ,0.2,s/p,s/p,s/p,0.2,27.4
2010,10,15 ,s/p,s/p,s/p,s/p,s/p,27.4
2010,10,16 ,s/p,s/p,s/p,s/p,s/p,27.4
2010,10,17 ,s/p,s/p,s/p,s/p,s/p,27.4
2010,10,18 ,s/p,s/p,s/p,s/p,s/p,27.4
2010,10,19 ,s/p,s/p,s/p,0.6,0.6,28.0
2010,10,20 ,0.4,s/p,s/p,s/p,0.4,28.4
2010,10,21 ,s/p,s/p,s/p,s/p,s/p,28.4
2010,10,22 ,s/p,s/p,s/p,0.0,0.0,28.4
2010,10,23 ,0.4,s/p,s/p,s/p,0.4,28.8
2010,10,24 ,s/p,s/p,s/p,s/p,s/p,28.8
2010,10,25 ,s/p,s/p,s/p,0.6,0.6,29.4
2010,10,26 ,4.8,3.0,s/p,s/p,7.8,37.2
2010,10,27 ,s/p,s/p,s/p,4.4,4.4,41.6
2010,10,28 ,0.2,s/p,s/p,0.2,0.4,42.0
2010,10,29 ,s/p,s/p,s/p,s/p,s/p,42.0
2010,10,30 ,s/p,s/p,s/p,s/p,s/p,42.0
2010,10,31 ,s/p,s/p,s/p,s/p,s/p,42.0
