Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2017,7,1 ,0.1,,,s/p,0.1,0.1
2017,7,2 ,10.5,,,14.0,24.5,24.6
2017,7,3 ,7.2,,,6.8,14.0,38.6
2017,7,4 ,s/p,,,0.1,0.1,38.7
2017,7,5 ,3.2,,,15.3,18.5,57.2
2017,7,6 ,2.0,,,7.7,9.7,66.9
2017,7,7 ,0.1,,,1.2,1.3,68.2
2017,7,8 ,9.0,,,2.8,11.8,80.0
2017,7,9 ,2.2,,,1.4,3.6,83.6
2017,7,10 ,s/p,,,1.1,1.1,84.7
2017,7,11 ,3.3,,,10.8,14.1,98.8
2017,7,12 ,1.6,,,13.6,15.2,114.0
2017,7,13 ,5.7,,,10.4,16.1,130.1
2017,7,14 ,10.8,,,4.7,15.5,145.6
2017,7,15 ,1.2,,,s/p,1.2,146.8
2017,7,16 ,0.1,,,s/p,0.1,146.9
2017,7,17 ,s/p,,,0.0,0.0,146.9
2017,7,18 ,4.5,,,43.5,48.0,194.9
2017,7,19 ,2.4,,,,2.4,197.3
2017,7,20 ,0.1,,,14.7,14.8,212.1
2017,7,21 ,14.3,,,,14.3,226.4
2017,7,22 ,,,,,,
2017,7,23 ,,,,103.0,103.0,329.4
2017,7,24 ,6.2,,,2.2,8.4,337.8
2017,7,25 ,s/p,,,22.7,22.7,360.5
2017,7,26 ,27.0,,,41.1,68.1,428.6
2017,7,27 ,4.6,,,15.7,20.3,448.9
2017,7,28 ,0.1,,,1.5,1.6,450.5
2017,7,29 ,0.1,,,s/p,0.1,450.6
2017,7,30 ,s/p,,,s/p,s/p,450.6
2017,7,31 ,s/p,,,0.4,0.4,451.0
