Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
2021.0,3.0,1.0,6.0,14.3,9.6,9.6,24.0
2021.0,3.0,2.0,-0.8,15.2,8.2,8.2,24.0
2021.0,3.0,3.0,1.1,17.6,9.9,9.9,24.0
2021.0,3.0,4.0,5.3,20.0,11.9,11.9,24.0
2021.0,3.0,5.0,9.6,18.9,14.7,14.6,23.0
2021.0,3.0,6.0,7.9,15.2,12.7,12.7,24.0
2021.0,3.0,7.0,4.6,11.1,7.1,7.4,20.0
2021.0,3.0,8.0,5.1,19.9,13.4,13.4,24.0
2021.0,3.0,9.0,10.7,21.5,15.5,15.5,24.0
2021.0,3.0,10.0,5.8,18.0,9.9,9.9,24.0
2021.0,3.0,11.0,7.8,17.4,12.0,12.0,24.0
2021.0,3.0,12.0,14.4,21.3,16.9,16.9,24.0
2021.0,3.0,13.0,6.9,15.1,11.3,11.3,24.0
2021.0,3.0,14.0,1.6,10.5,7.0,7.2,23.0
2021.0,3.0,15.0,5.3,12.7,9.3,9.3,24.0
2021.0,3.0,16.0,1.6,12.1,6.8,6.8,24.0
2021.0,3.0,17.0,6.5,16.6,11.1,11.1,24.0
2021.0,3.0,18.0,8.3,18.2,12.2,12.2,24.0
2021.0,3.0,19.0,8.0,15.6,13.0,13.0,24.0
2021.0,3.0,20.0,6.5,14.5,10.0,9.9,23.0
2021.0,3.0,21.0,5.5,18.0,11.6,11.8,23.0
2021.0,3.0,22.0,6.5,19.6,12.5,12.5,24.0
2021.0,3.0,23.0,5.0,14.0,9.7,9.7,24.0
2021.0,3.0,24.0,3.1,12.0,7.2,7.2,24.0
2021.0,3.0,25.0,8.1,16.6,11.8,11.8,24.0
2021.0,3.0,26.0,2.4,16.4,10.4,10.4,24.0
2021.0,3.0,27.0,7.9,20.8,12.1,12.1,24.0
2021.0,3.0,28.0,7.2,15.7,10.6,10.6,24.0
2021.0,3.0,29.0,6.2,11.9,8.4,8.4,24.0
2021.0,3.0,30.0,5.8,14.9,11.3,11.3,24.0
2021.0,3.0,31.0,-2.7,13.4,5.5,5.5,24.0
