Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
1952,4,1,10.4,29.4,19.9,21.6,14
1952,4,2,6.8,28.0,17.4,17.9,14
1952,4,3,7.4,26.0,16.7,17.0,14
1952,4,4,9.0,26.0,17.5,17.1,14
1952,4,5,9.4,28.2,18.8,19.5,14
1952,4,6,9.6,23.0,16.3,15.3,14
1952,4,7,9.4,24.0,16.7,18.1,14
1952,4,8,12.6,26.0,19.3,19.8,14
1952,4,9,9.4,24.0,16.7,17.7,14
1952,4,10,9.6,30.0,19.8,20.7,14
1952,4,11,8.4,22.0,15.2,15.0,14
1952,4,12,9.8,28.0,18.9,18.9,14
1952,4,13,9.8,29.4,19.6,20.9,14
1952,4,14,9.4,27.8,18.6,19.1,14
1952,4,15,13.8,22.8,18.3,18.2,14
1952,4,16,11.8,25.2,18.5,18.9,14
1952,4,17,10.6,25.4,18.0,18.4,14
1952,4,18,11.4,21.0,16.2,16.3,14
1952,4,19,11.2,22.2,16.7,16.2,14
1952,4,20,9.8,22.4,16.1,15.5,14
1952,4,21,8.4,25.2,16.8,17.6,14
1952,4,22,10.0,25.4,17.7,18.6,14
1952,4,23,8.6,25.8,17.2,16.9,14
1952,4,24,7.0,24.2,15.6,15.3,14
1952,4,25,9.4,21.8,15.6,16.7,14
1952,4,26,.,20.0,.,15.1,14
1952,4,27,10.4,24.8,17.6,16.5,14
1952,4,28,9.8,22.2,16.0,15.5,14
1952,4,29,9.6,24.2,16.9,17.1,14
1952,4,30,7.6,25.4,16.5,16.9,14
