Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
1976.0,4.0,1.0,5.7,13.8,8.5,8.5,24.0
1976.0,4.0,2.0,7.0,13.1,9.2,9.2,24.0
1976.0,4.0,3.0,-0.6,11.0,5.7,5.7,24.0
1976.0,4.0,4.0,6.0,12.6,8.3,8.3,24.0
1976.0,4.0,5.0,3.0,17.0,9.7,9.7,24.0
1976.0,4.0,6.0,-0.4,14.8,7.7,7.7,24.0
1976.0,4.0,7.0,2.0,11.0,6.7,6.7,24.0
1976.0,4.0,8.0,4.9,8.4,6.5,5.7,23.0
1976.0,4.0,9.0,0.3,10.0,4.0,4.0,24.0
1976.0,4.0,10.0,4.0,14.4,8.3,8.3,24.0
1976.0,4.0,11.0,8.0,13.0,10.2,10.2,24.0
1976.0,4.0,12.0,8.1,12.0,9.9,9.9,24.0
1976.0,4.0,13.0,8.0,14.5,9.9,10.1,22.0
1976.0,4.0,14.0,3.4,10.0,6.3,6.3,24.0
1976.0,4.0,15.0,-1.7,9.0,3.4,3.4,24.0
1976.0,4.0,16.0,-6.0,12.1,2.8,2.8,24.0
1976.0,4.0,17.0,-5.0,15.0,2.9,2.9,24.0
1976.0,4.0,18.0,-1.4,12.0,5.7,5.7,24.0
1976.0,4.0,19.0,-6.1,13.2,2.5,2.5,24.0
1976.0,4.0,20.0,-6.8,15.0,2.4,2.4,24.0
1976.0,4.0,21.0,-7.1,12.0,1.6,1.6,24.0
1976.0,4.0,22.0,1.6,13.2,7.2,7.2,24.0
1976.0,4.0,23.0,6.7,13.8,8.6,8.6,24.0
1976.0,4.0,24.0,9.0,13.5,10.6,10.6,24.0
1976.0,4.0,25.0,7.0,9.3,7.7,7.7,24.0
1976.0,4.0,26.0,5.2,10.6,7.2,7.2,24.0
1976.0,4.0,27.0,5.0,8.2,6.3,6.3,24.0
1976.0,4.0,28.0,0.6,11.0,8.1,8.1,24.0
1976.0,4.0,29.0,3.8,10.0,6.4,6.4,24.0
1976.0,4.0,30.0,4.2,12.6,7.5,7.5,24.0
