Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
1980,2,1,11.0,28.0,19.5,,
1980,2,2,10.0,30.0,20.0,,
1980,2,3,10.0,28.0,19.0,,
1980,2,4,10.0,30.0,20.0,,
1980,2,5,11.0,30.0,20.5,,
1980,2,6,12.0,30.0,21.0,,
1980,2,7,12.0,33.0,22.5,,
1980,2,8,13.0,32.0,22.5,,
1980,2,9,12.0,30.0,21.0,,
1980,2,10,10.0,31.0,20.5,,
1980,2,11,11.0,33.0,22.0,,
1980,2,12,13.0,33.0,23.0,,
1980,2,13,14.0,32.0,23.0,,
1980,2,14,13.0,30.0,21.5,,
1980,2,15,12.0,32.0,22.0,,
1980,2,16,14.0,31.0,22.5,,
1980,2,17,12.0,28.0,20.0,,
1980,2,18,13.0,28.0,20.5,,
1980,2,19,14.0,30.0,22.0,,
1980,2,20,13.0,29.0,21.0,,
1980,2,21,14.0,28.0,21.0,,
1980,2,22,13.0,29.0,21.0,,
1980,2,23,12.0,29.0,20.5,,
1980,2,24,12.0,32.0,22.0,,
1980,2,25,12.0,30.0,21.0,,
1980,2,26,13.0,30.0,21.5,,
1980,2,27,12.0,32.0,22.0,,
1980,2,28,13.0,32.0,22.5,,
1980,2,29,13.0,30.0,21.5,,
