Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1972,8,1 ,,,,,s/p,s/p
1972,8,2 ,,,,,4.5,4.5
1972,8,3 ,,,,,s/p,4.5
1972,8,4 ,,,,,s/p,4.5
1972,8,5 ,,,,,s/p,4.5
1972,8,6 ,,,,,s/p,4.5
1972,8,7 ,,,,,s/p,4.5
1972,8,8 ,,,,,s/p,4.5
1972,8,9 ,,,,,s/p,4.5
1972,8,10 ,,,,,s/p,4.5
1972,8,11 ,,,,,29.2,33.7
1972,8,12 ,,,,,11.0,44.7
1972,8,13 ,,,,,15.0,59.7
1972,8,14 ,,,,,s/p,59.7
1972,8,15 ,,,,,21.2,80.9
1972,8,16 ,,,,,11.0,91.9
1972,8,17 ,,,,,s/p,91.9
1972,8,18 ,,,,,s/p,91.9
1972,8,19 ,,,,,17.2,109.1
1972,8,20 ,,,,,s/p,109.1
1972,8,21 ,,,,,s/p,109.1
1972,8,22 ,,,,,s/p,109.1
1972,8,23 ,,,,,s/p,109.1
1972,8,24 ,,,,,s/p,109.1
1972,8,25 ,,,,,25.2,134.3
1972,8,26 ,,,,,s/p,134.3
1972,8,27 ,,,,,s/p,134.3
1972,8,28 ,,,,,s/p,134.3
1972,8,29 ,,,,,s/p,134.3
1972,8,30 ,,,,,s/p,134.3
1972,8,31 ,,,,,s/p,134.3
