Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
1961,2,1,8.2,13.6,10.9,11.5,4
1961,2,2,9.2,14.4,11.8,13.1,4
1961,2,3,11.7,18.6,15.2,17.0,4
1961,2,4,12.6,22.3,17.4,18.0,4
1961,2,5,13.8,16.7,15.3,15.3,4
1961,2,6,8.4,13.6,11.0,11.6,4
1961,2,7,10.2,15.2,12.7,13.1,4
1961,2,8,12.0,17.9,14.9,15.4,4
1961,2,9,10.8,16.4,13.6,14.1,4
1961,2,10,10.2,15.9,13.0,13.4,4
1961,2,11,10.6,20.8,15.7,17.2,4
1961,2,12,9.8,17.4,13.6,15.5,4
1961,2,13,14.3,23.0,18.7,19.9,4
1961,2,14,13.0,23.1,18.1,19.4,4
1961,2,15,12.1,17.4,14.8,14.9,4
1961,2,16,7.2,15.4,11.3,12.9,4
1961,2,17,3.8,17.8,10.8,13.2,4
1961,2,18,12.6,18.3,15.4,15.7,4
1961,2,19,13.6,20.9,17.3,18.6,4
1961,2,20,8.0,15.2,11.6,12.5,4
1961,2,21,4.9,13.2,9.0,8.8,4
1961,2,22,3.9,13.3,8.6,10.0,4
1961,2,23,8.3,17.0,12.7,13.2,4
1961,2,24,7.4,12.3,9.9,10.5,4
1961,2,25,4.3,16.4,10.3,10.6,4
1961,2,26,5.2,17.0,11.1,12.4,4
1961,2,27,6.1,20.2,13.2,14.7,4
1961,2,28,5.0,23.8,14.4,15.7,4
