Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2021,6,1 ,0.7,s/p,s/p,s/p,0.7,0.7
2021,6,2 ,s/p,0.1,0.1,s/p,0.2,0.9
2021,6,3 ,s/p,0.1,s/p,0.1,0.2,1.1
2021,6,4 ,0.9,0.3,0.2,0.2,1.6,2.7
2021,6,5 ,0.1,s/p,s/p,s/p,0.1,2.8
2021,6,6 ,s/p,s/p,s/p,s/p,s/p,2.8
2021,6,7 ,s/p,s/p,0.9,22.4,23.3,26.1
2021,6,8 ,6.5,s/p,0.3,9.3,16.1,42.2
2021,6,9 ,14.6,0.5,1.0,0.1,16.2,58.4
2021,6,10 ,s/p,s/p,s/p,0.1,0.1,58.5
2021,6,11 ,s/p,s/p,s/p,s/p,s/p,58.5
2021,6,12 ,s/p,2.6,17.7,6.4,26.7,85.2
2021,6,13 ,s/p,1.0,0.1,0.1,1.2,86.4
2021,6,14 ,0.1,s/p,s/p,s/p,0.1,86.5
2021,6,15 ,s/p,s/p,s/p,s/p,s/p,86.5
2021,6,16 ,s/p,s/p,s/p,s/p,s/p,86.5
2021,6,17 ,0.1,s/p,s/p,s/p,0.1,86.6
2021,6,18 ,s/p,,s/p,s/p,s/p,86.6
2021,6,19 ,0.1,s/p,s/p,s/p,0.1,86.7
2021,6,20 ,0.1,s/p,s/p,5.6,5.7,92.4
2021,6,21 ,14.0,s/p,s/p,6.3,20.3,112.7
2021,6,22 ,13.8,2.8,19.8,9.1,45.5,158.2
2021,6,23 ,0.1,0.2,3.5,11.6,15.4,173.6
2021,6,24 ,9.1,0.5,0.2,1.8,11.6,185.2
2021,6,25 ,s/p,1.6,0.1,s/p,1.7,186.9
2021,6,26 ,0.1,s/p,s/p,s/p,0.1,187.0
2021,6,27 ,s/p,s/p,s/p,s/p,s/p,187.0
2021,6,28 ,0.1,s/p,s/p,s/p,0.1,187.1
2021,6,29 ,0.1,s/p,s/p,s/p,0.1,187.2
2021,6,30 ,0.3,s/p,s/p,0.5,0.8,188.0
