Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
2021.0,2.0,1.0,1.0,2.6,2.0,1.7,16.0
2021.0,2.0,2.0,0.2,2.4,1.1,1.3,16.0
2021.0,2.0,3.0,-0.1,3.5,1.2,1.9,16.0
2021.0,2.0,4.0,0.3,2.7,1.4,1.6,16.0
2021.0,2.0,5.0,-0.9,3.3,0.9,0.9,24.0
2021.0,2.0,6.0,0.4,2.4,1.6,1.6,24.0
2021.0,2.0,7.0,1.1,2.9,2.0,2.0,24.0
2021.0,2.0,8.0,0.3,3.1,1.4,1.4,24.0
2021.0,2.0,9.0,1.3,2.5,2.0,2.0,24.0
2021.0,2.0,10.0,1.7,3.5,2.3,2.3,24.0
2021.0,2.0,11.0,2.0,5.9,4.1,4.1,24.0
2021.0,2.0,12.0,1.8,4.2,2.7,2.7,24.0
2021.0,2.0,13.0,2.0,4.5,3.3,3.3,24.0
2021.0,2.0,14.0,0.9,3.1,1.6,1.6,24.0
2021.0,2.0,15.0,1.3,3.8,2.6,2.6,24.0
2021.0,2.0,16.0,2.3,4.3,3.1,3.1,24.0
2021.0,2.0,17.0,0.0,2.7,1.7,1.7,24.0
2021.0,2.0,18.0,1.2,4.9,3.0,3.0,24.0
2021.0,2.0,19.0,1.1,3.1,2.0,2.0,24.0
2021.0,2.0,20.0,-0.3,2.1,0.9,0.9,24.0
2021.0,2.0,21.0,-2.2,2.2,-0.4,-0.4,24.0
2021.0,2.0,22.0,0.1,2.0,0.8,0.8,24.0
2021.0,2.0,23.0,0.4,2.7,1.3,1.3,24.0
2021.0,2.0,24.0,-1.1,0.4,-0.2,-0.2,24.0
2021.0,2.0,25.0,-1.2,1.6,-0.3,-0.3,24.0
2021.0,2.0,26.0,-1.1,1.8,0.2,0.2,24.0
2021.0,2.0,27.0,-0.1,3.6,2.5,2.5,24.0
2021.0,2.0,28.0,1.4,3.5,2.7,2.7,24.0
