Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
1997,3,1,6.3,27.7,17.0,21.0,13
1997,3,2,9.4,27.6,18.5,20.6,13
1997,3,3,7.0,31.6,19.3,22.5,13
1997,3,4,10.4,27.6,19.0,22.0,13
1997,3,5,11.4,24.4,17.9,20.8,13
1997,3,6,5.8,18.8,12.3,15.1,13
1997,3,7,4.2,14.6,9.4,11.4,13
1997,3,8,3.2,18.8,11.0,13.5,13
1997,3,9,6.4,16.8,11.6,12.9,13
1997,3,10,7.2,15.4,11.3,12.4,13
1997,3,11,1.0,22.6,11.8,15.1,13
1997,3,12,3.0,25.6,14.3,17.4,13
1997,3,13,4.9,25.1,15.0,20.4,13
1997,3,14,5.4,27.2,16.3,20.4,13
1997,3,15,7.4,25.2,16.3,19.9,13
1997,3,16,8.2,17.4,12.8,14.9,13
1997,3,17,11.2,19.1,15.2,15.9,13
1997,3,18,8.0,23.9,15.9,18.9,13
1997,3,19,13.1,16.1,14.6,15.5,13
1997,3,20,10.2,21.2,15.7,17.2,13
1997,3,21,5.1,17.0,11.0,13.7,13
1997,3,22,8.2,16.0,12.1,13.1,13
1997,3,23,-0.6,16.9,8.1,11.1,13
1997,3,24,8.2,19.0,13.6,14.6,13
1997,3,25,10.7,19.1,14.9,16.0,13
1997,3,26,13.0,18.8,15.9,16.0,13
1997,3,27,7.1,17.8,12.4,14.3,13
1997,3,28,12.4,20.4,16.4,18.5,13
1997,3,29,16.9,20.6,18.8,18.7,13
1997,3,30,5.8,21.2,13.5,15.4,13
1997,3,31,5.2,24.8,15.0,17.3,13
