Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2013,11,1 ,0.4,s/p,,s/p,0.4,0.4
2013,11,2 ,0.4,s/p,,10.0,10.4,10.8
2013,11,3 ,s/p,s/p,,s/p,s/p,10.8
2013,11,4 ,s/p,s/p,,s/p,s/p,10.8
2013,11,5 ,s/p,1.4,,5.2,6.6,17.4
2013,11,6 ,28.8,0.8,,10.0,39.6,57.0
2013,11,7 ,8.0,1.2,,0.4,9.6,66.6
2013,11,8 ,2.0,s/p,,s/p,2.0,68.6
2013,11,9 ,,s/p,,0.8,0.8,69.4
2013,11,10 ,,s/p,,5.4,5.4,74.8
2013,11,11 ,s/p,4.0,,3.0,7.0,81.8
2013,11,12 ,0.4,,,3.2,3.6,85.4
2013,11,13 ,6.4,22.0,,7.6,36.0,121.4
2013,11,14 ,2.0,0.4,,s/p,2.4,123.8
2013,11,15 ,s/p,s/p,,s/p,s/p,123.8
2013,11,16 ,,s/p,,s/p,s/p,123.8
2013,11,17 ,,3.2,,0.4,3.6,127.4
2013,11,18 ,0.8,0.8,,s/p,1.6,129.0
2013,11,19 ,s/p,s/p,,s/p,s/p,129.0
2013,11,20 ,s/p,s/p,,s/p,s/p,129.0
2013,11,21 ,s/p,s/p,,0.4,0.4,129.4
2013,11,22 ,4.8,s/p,,10.8,15.6,145.0
2013,11,23 ,,1.2,,4.4,5.6,150.6
2013,11,24 ,,s/p,,s/p,s/p,150.6
2013,11,25 ,s/p,,,s/p,s/p,150.6
2013,11,26 ,s/p,s/p,,s/p,s/p,150.6
2013,11,27 ,s/p,2.0,,s/p,2.0,152.6
2013,11,28 ,s/p,,,,s/p,152.6
2013,11,29 ,,s/p,,s/p,s/p,152.6
2013,11,30 ,,s/p,,s/p,s/p,152.6
