Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2021,6,1 ,,,,,s/p,s/p
2021,6,2 ,,,,,4.3,4.3
2021,6,3 ,,,,,s/p,4.3
2021,6,4 ,,,,,2.1,6.4
2021,6,5 ,,,,,s/p,6.4
2021,6,6 ,,,,,s/p,6.4
2021,6,7 ,,,,,17.2,23.6
2021,6,8 ,,,,,19.4,43.0
2021,6,9 ,,,,,12.5,55.5
2021,6,10 ,,,,,s/p,55.5
2021,6,11 ,,,,,29.3,84.8
2021,6,12 ,,,,,s/p,84.8
2021,6,13 ,,,,,s/p,84.8
2021,6,14 ,,,,,s/p,84.8
2021,6,15 ,,,,,s/p,84.8
2021,6,16 ,,,,,s/p,84.8
2021,6,17 ,,,,,s/p,84.8
2021,6,18 ,,,,,s/p,84.8
2021,6,19 ,,,,,s/p,84.8
2021,6,20 ,,,,,8.6,93.4
2021,6,21 ,,,,,11.8,105.2
2021,6,22 ,,,,,48.1,153.3
2021,6,23 ,,,,,3.9,157.2
2021,6,24 ,,,,,12.6,169.8
2021,6,25 ,,,,,3.4,173.2
2021,6,26 ,,,,,1.6,174.8
2021,6,27 ,,,,,s/p,174.8
2021,6,28 ,,,,,s/p,174.8
2021,6,29 ,,,,,s/p,174.8
2021,6,30 ,,,,,0.8,175.6
