Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2012,10,1 ,s/p,s/p,s/p,0.2,0.2,0.2
2012,10,2 ,0.6,s/p,s/p,s/p,0.6,0.8
2012,10,3 ,s/p,s/p,s/p,s/p,s/p,0.8
2012,10,4 ,0.4,14.8,6.2,s/p,21.4,22.2
2012,10,5 ,s/p,s/p,s/p,s/p,s/p,22.2
2012,10,6 ,0.2,5.6,s/p,s/p,5.8,28.0
2012,10,7 ,s/p,s/p,s/p,s/p,s/p,28.0
2012,10,8 ,s/p,s/p,s/p,s/p,s/p,28.0
2012,10,9 ,s/p,s/p,s/p,s/p,s/p,28.0
2012,10,10 ,s/p,s/p,s/p,s/p,s/p,28.0
2012,10,11 ,s/p,s/p,s/p,s/p,s/p,28.0
2012,10,12 ,s/p,s/p,s/p,s/p,s/p,28.0
2012,10,13 ,s/p,s/p,s/p,s/p,s/p,28.0
2012,10,14 ,s/p,s/p,s/p,s/p,s/p,28.0
2012,10,15 ,s/p,s/p,s/p,s/p,s/p,28.0
2012,10,16 ,s/p,s/p,s/p,s/p,s/p,28.0
2012,10,17 ,s/p,s/p,s/p,s/p,s/p,28.0
2012,10,18 ,s/p,s/p,s/p,s/p,s/p,28.0
2012,10,19 ,3.4,0.2,0.4,s/p,4.0,32.0
2012,10,20 ,s/p,3.2,s/p,s/p,3.2,35.2
2012,10,21 ,s/p,1.6,1.2,s/p,2.8,38.0
2012,10,22 ,s/p,s/p,s/p,s/p,s/p,38.0
2012,10,23 ,s/p,s/p,s/p,s/p,s/p,38.0
2012,10,24 ,s/p,s/p,s/p,s/p,s/p,38.0
2012,10,25 ,s/p,s/p,s/p,s/p,s/p,38.0
2012,10,26 ,3.0,2.2,s/p,s/p,5.2,43.2
2012,10,27 ,s/p,s/p,s/p,s/p,s/p,43.2
2012,10,28 ,s/p,s/p,s/p,s/p,s/p,43.2
2012,10,29 ,s/p,s/p,s/p,s/p,s/p,43.2
2012,10,30 ,s/p,s/p,s/p,s/p,s/p,43.2
2012,10,31 ,0.2,s/p,s/p,s/p,0.2,43.4
