,Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
0,2010.0,1.0,1.0,9.9,31.9,20.7,20.7,24.0
1,2010.0,1.0,2.0,13.2,35.3,23.3,23.3,24.0
2,2010.0,1.0,3.0,10.7,29.4,20.0,20.0,24.0
3,2010.0,1.0,4.0,9.8,31.9,20.2,20.2,24.0
4,2010.0,1.0,5.0,10.4,30.4,20.2,20.2,24.0
5,2010.0,1.0,6.0,12.1,31.6,20.9,20.9,24.0
6,2010.0,1.0,7.0,11.3,31.2,20.7,20.7,24.0
7,2010.0,1.0,8.0,11.7,33.1,21.5,21.5,24.0
8,2010.0,1.0,9.0,11.6,32.7,22.0,22.0,24.0
9,2010.0,1.0,10.0,12.1,31.8,21.4,21.4,24.0
10,2010.0,1.0,11.0,10.6,28.8,18.9,18.9,24.0
11,2010.0,1.0,12.0,8.1,30.8,19.3,19.3,24.0
12,2010.0,1.0,13.0,10.0,33.9,21.7,21.7,24.0
13,2010.0,1.0,14.0,12.6,32.3,22.2,22.2,24.0
14,2010.0,1.0,15.0,11.1,31.7,21.2,21.2,24.0
15,2010.0,1.0,16.0,12.2,32.8,21.6,21.6,24.0
16,2010.0,1.0,17.0,12.8,33.6,22.0,22.0,24.0
17,2010.0,1.0,18.0,11.6,27.7,19.3,19.3,24.0
18,2010.0,1.0,19.0,11.4,32.3,21.6,21.6,24.0
19,2010.0,1.0,20.0,12.5,36.4,23.9,23.9,24.0
20,2010.0,1.0,21.0,15.1,36.2,25.0,25.0,24.0
21,2010.0,1.0,22.0,14.4,34.4,23.4,23.4,24.0
22,2010.0,1.0,23.0,13.9,31.2,22.0,22.0,24.0
23,2010.0,1.0,24.0,14.7,32.7,22.8,22.8,24.0
24,2010.0,1.0,25.0,15.4,31.5,23.1,23.1,24.0
25,2010.0,1.0,26.0,14.6,31.9,22.6,22.6,24.0
26,2010.0,1.0,27.0,15.3,35.4,24.6,24.6,24.0
27,2010.0,1.0,28.0,15.8,33.7,23.8,23.8,24.0
28,2010.0,1.0,29.0,12.7,31.9,21.7,21.7,24.0
29,2010.0,1.0,30.0,13.4,32.4,22.3,22.3,24.0
30,2010.0,1.0,31.0,12.4,33.9,22.9,22.9,24.0
0,2010.0,2.0,1.0,12.4,33.3,22.1,22.1,24.0
1,2010.0,2.0,2.0,10.5,31.6,20.0,20.0,24.0
2,2010.0,2.0,3.0,8.9,29.0,18.3,18.3,24.0
3,2010.0,2.0,4.0,9.8,30.3,19.7,19.7,24.0
4,2010.0,2.0,5.0,9.6,29.0,18.8,18.8,24.0
5,2010.0,2.0,6.0,8.5,28.2,17.9,17.9,24.0
6,2010.0,2.0,7.0,9.6,29.5,18.3,18.3,24.0
7,2010.0,2.0,8.0,11.3,33.4,21.6,21.6,24.0
8,2010.0,2.0,9.0,13.5,33.7,22.4,22.4,24.0
9,2010.0,2.0,10.0,13.3,33.4,22.3,22.3,24.0
10,2010.0,2.0,11.0,11.7,28.6,19.8,19.8,24.0
11,2010.0,2.0,12.0,12.3,33.7,21.4,21.4,24.0
12,2010.0,2.0,13.0,12.9,35.6,23.1,23.1,24.0
13,2010.0,2.0,14.0,11.6,32.2,21.6,21.6,24.0
14,2010.0,2.0,15.0,10.9,33.7,21.7,21.7,24.0
15,2010.0,2.0,16.0,10.7,31.5,20.8,20.8,24.0
16,2010.0,2.0,17.0,9.4,31.9,19.7,19.7,24.0
17,2010.0,2.0,18.0,9.6,30.6,19.3,19.3,24.0
18,2010.0,2.0,19.0,9.8,32.1,20.0,20.0,24.0
19,2010.0,2.0,20.0,11.9,33.6,21.9,21.9,24.0
20,2010.0,2.0,21.0,10.7,31.8,19.7,19.7,24.0
21,2010.0,2.0,22.0,7.8,27.1,16.0,16.0,24.0
22,2010.0,2.0,23.0,9.2,31.9,19.4,19.4,24.0
23,2010.0,2.0,24.0,9.3,29.8,18.9,18.9,24.0
24,2010.0,2.0,25.0,9.5,25.2,15.4,15.4,24.0
25,2010.0,2.0,26.0,8.8,27.1,17.7,17.7,24.0
26,2010.0,2.0,27.0,10.7,31.7,20.2,20.2,24.0
27,2010.0,2.0,28.0,11.8,30.2,20.1,20.1,24.0
0,2010.0,3.0,1.0,12.4,29.3,19.5,19.5,24.0
1,2010.0,3.0,2.0,11.6,25.6,17.9,17.9,24.0
2,2010.0,3.0,3.0,9.2,29.3,18.0,18.0,24.0
3,2010.0,3.0,4.0,9.1,34.0,19.8,19.8,24.0
4,2010.0,3.0,5.0,11.4,34.2,22.3,22.3,24.0
5,2010.0,3.0,6.0,12.4,35.7,22.5,22.5,24.0
6,2010.0,3.0,7.0,11.2,26.4,17.9,17.9,24.0
