Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
2020.0,1.0,1.0,14.1,25.1,17.5,17.8,22.0
2020.0,1.0,2.0,10.2,25.1,17.1,17.4,23.0
2020.0,1.0,3.0,14.6,25.8,18.5,18.7,23.0
2020.0,1.0,4.0,13.2,26.4,18.4,18.6,23.0
2020.0,1.0,5.0,14.0,20.0,16.6,16.8,22.0
2020.0,1.0,6.0,13.6,26.6,18.9,19.4,23.0
2020.0,1.0,7.0,12.3,28.8,19.9,20.2,23.0
2020.0,1.0,8.0,14.1,25.7,19.0,19.2,23.0
2020.0,1.0,9.0,11.1,28.1,19.6,20.0,23.0
2020.0,1.0,10.0,10.6,29.8,19.6,19.9,23.0
2020.0,1.0,11.0,10.7,28.0,18.9,19.3,23.0
2020.0,1.0,12.0,13.9,27.9,19.3,19.6,22.0
2020.0,1.0,13.0,14.9,26.6,19.6,19.9,22.0
2020.0,1.0,14.0,13.7,25.4,18.1,18.4,22.0
2020.0,1.0,15.0,12.0,28.6,19.2,19.4,23.0
2020.0,1.0,16.0,11.5,28.8,18.8,19.0,23.0
2020.0,1.0,17.0,11.7,26.7,18.6,19.6,22.0
2020.0,1.0,18.0,14.6,30.2,20.7,21.8,22.0
2020.0,1.0,19.0,16.4,27.2,19.6,20.0,22.0
2020.0,1.0,20.0,15.4,29.6,20.6,20.8,23.0
2020.0,1.0,21.0,15.3,25.6,18.9,19.2,22.0
2020.0,1.0,22.0,14.9,27.7,19.5,19.9,22.0
2020.0,1.0,23.0,13.6,28.9,20.4,20.8,23.0
2020.0,1.0,24.0,14.9,30.1,22.1,22.5,22.0
2020.0,1.0,25.0,15.3,30.7,21.7,22.2,22.0
2020.0,1.0,26.0,15.7,31.0,21.9,23.4,21.0
2020.0,1.0,27.0,16.6,29.3,21.8,22.1,22.0
2020.0,1.0,28.0,16.9,27.1,20.6,20.9,22.0
2020.0,1.0,29.0,17.1,27.6,20.2,20.4,22.0
2020.0,1.0,30.0,12.8,28.6,19.5,19.8,23.0
2020.0,1.0,31.0,13.8,27.1,19.9,20.1,23.0
2020.0,2.0,1.0,13.2,28.5,19.6,20.4,21.0
2020.0,2.0,2.0,15.5,28.1,20.3,20.7,22.0
2020.0,2.0,3.0,13.4,28.9,20.5,21.2,22.0
2020.0,2.0,4.0,12.4,29.1,20.0,21.3,21.0
2020.0,2.0,5.0,12.3,24.9,18.8,19.3,22.0
2020.0,2.0,6.0,10.1,26.8,17.6,18.3,22.0
2020.0,2.0,7.0,10.7,29.0,18.9,19.8,22.0
2020.0,2.0,8.0,10.9,28.6,19.1,20.0,21.0
2020.0,2.0,9.0,14.6,25.4,18.5,18.8,22.0
2020.0,2.0,10.0,11.4,25.8,17.6,18.6,21.0
2020.0,2.0,11.0,15.7,25.8,18.9,19.4,21.0
2020.0,2.0,12.0,16.7,26.9,20.0,20.4,21.0
2020.0,2.0,13.0,13.3,28.0,19.8,21.1,21.0
2020.0,2.0,14.0,11.9,29.2,19.0,20.2,21.0
2020.0,2.0,15.0,9.7,28.9,18.0,19.3,21.0
2020.0,2.0,16.0,13.0,26.7,18.3,18.8,21.0
2020.0,2.0,17.0,15.0,28.7,19.8,21.1,21.0
2020.0,2.0,18.0,11.4,30.8,20.5,21.5,21.0
2020.0,2.0,19.0,10.7,26.7,17.3,18.8,21.0
2020.0,2.0,20.0,11.1,24.8,17.1,18.0,21.0
2020.0,2.0,21.0,13.4,26.7,17.4,18.2,21.0
2020.0,2.0,22.0,11.3,26.3,17.3,18.3,21.0
2020.0,2.0,23.0,11.7,25.4,17.2,18.1,21.0
2020.0,2.0,24.0,15.5,24.5,18.6,18.8,21.0
2020.0,2.0,25.0,10.3,28.7,18.7,19.9,21.0
2020.0,2.0,26.0,11.2,29.5,18.8,20.0,21.0
2020.0,2.0,27.0,13.7,26.2,18.3,18.7,21.0
2020.0,2.0,28.0,12.8,26.0,18.1,18.8,21.0
2020.0,2.0,29.0,14.6,23.9,19.3,18.1,20.0
2020.0,9.0,1.0,9.8,16.8,13.3,12.3,19.0
2020.0,9.0,2.0,9.5,19.8,12.8,14.0,20.0
2020.0,9.0,3.0,6.4,20.3,11.1,13.0,20.0
2020.0,9.0,4.0,8.6,18.6,13.6,12.3,19.0
2020.0,9.0,5.0,6.6,20.3,11.9,13.9,20.0
2020.0,9.0,6.0,6.7,22.1,13.0,13.7,20.0
2020.0,9.0,7.0,9.4,20.3,14.8,12.9,19.0
2020.0,9.0,8.0,11.4,15.4,13.4,12.4,19.0
2020.0,9.0,9.0,8.7,22.4,13.3,15.8,20.0
2020.0,9.0,10.0,6.3,22.8,12.5,14.1,20.0
2020.0,9.0,11.0,6.9,22.6,13.1,14.9,20.0
2020.0,9.0,12.0,5.6,20.8,12.2,13.3,20.0
2020.0,9.0,13.0,5.6,23.6,12.3,13.9,20.0
2020.0,9.0,14.0,5.1,19.9,12.1,13.5,20.0
2020.0,9.0,15.0,10.3,13.3,11.8,11.2,19.0
2020.0,9.0,16.0,9.2,21.8,13.7,14.8,20.0
2020.0,9.0,17.0,8.1,25.8,14.1,16.1,20.0
2020.0,9.0,18.0,7.8,26.2,14.6,16.2,20.0
2020.0,9.0,19.0,6.6,19.7,12.4,13.7,20.0
2020.0,9.0,20.0,10.4,15.3,12.1,12.7,20.0
2020.0,9.0,21.0,11.6,21.1,14.3,14.6,20.0
2020.0,9.0,22.0,10.3,23.4,14.2,15.4,21.0
2020.0,9.0,23.0,9.0,26.4,15.1,16.9,20.0
2020.0,9.0,24.0,9.1,13.5,12.1,11.9,20.0
2020.0,9.0,25.0,10.9,13.6,12.3,12.0,19.0
2020.0,9.0,26.0,9.9,20.1,13.3,14.4,20.0
2020.0,9.0,27.0,4.8,22.9,12.0,13.6,20.0
2020.0,9.0,28.0,5.5,20.8,12.1,12.5,21.0
2020.0,9.0,29.0,9.3,18.8,13.5,14.5,20.0
2020.0,9.0,30.0,3.7,20.5,11.0,12.6,20.0
2021.0,1.0,1.0,12.2,26.7,18.1,18.4,23.0
2021.0,1.0,2.0,14.3,25.6,18.1,18.5,23.0
2021.0,1.0,3.0,13.6,27.0,18.9,19.1,23.0
2021.0,1.0,4.0,12.2,24.9,18.3,18.8,22.0
2021.0,1.0,5.0,14.0,24.6,17.9,18.3,22.0
2021.0,1.0,6.0,13.7,26.6,18.4,18.7,23.0
2021.0,1.0,7.0,11.9,26.8,18.3,18.8,22.0
2021.0,1.0,8.0,14.0,24.6,17.6,18.1,22.0
2021.0,1.0,9.0,11.6,25.4,17.7,18.0,22.0
2021.0,1.0,10.0,9.0,26.1,17.0,18.1,22.0
2021.0,1.0,11.0,9.2,27.6,18.6,19.0,23.0
2021.0,1.0,12.0,9.2,27.6,18.4,18.7,23.0
2021.0,1.0,13.0,9.3,27.4,17.9,18.1,23.0
2021.0,1.0,14.0,9.3,25.2,16.8,17.2,23.0
2021.0,1.0,15.0,10.1,29.5,18.7,18.7,23.0
2021.0,1.0,16.0,10.1,25.7,17.0,18.0,22.0
2021.0,1.0,17.0,8.5,27.8,17.4,18.9,21.0
2021.0,1.0,18.0,13.6,27.5,18.5,18.9,22.0
2021.0,1.0,19.0,14.2,25.9,18.2,18.1,19.0
2021.0,1.0,20.0,14.2,27.9,18.9,19.3,21.0
2021.0,1.0,21.0,14.2,18.1,16.2,17.1,16.0
2021.0,1.0,22.0,15.7,27.7,21.7,21.5,13.0
2021.0,1.0,23.0,14.9,28.2,19.6,20.0,22.0
2021.0,1.0,24.0,13.8,28.2,19.8,21.0,21.0
2021.0,1.0,25.0,16.5,27.3,19.9,20.1,22.0
2021.0,1.0,26.0,13.8,26.7,18.1,18.5,22.0
2021.0,1.0,27.0,13.5,27.9,18.6,19.7,21.0
2021.0,1.0,28.0,11.2,29.3,19.3,19.7,23.0
2021.0,1.0,29.0,11.2,28.1,19.0,19.4,22.0
2021.0,1.0,30.0,16.5,27.4,19.9,20.6,21.0
2021.0,1.0,31.0,17.3,28.8,21.4,21.9,21.0
2021.0,4.0,1.0,14.2,20.9,17.5,16.2,19.0
2021.0,4.0,2.0,13.1,25.1,16.5,17.2,20.0
2021.0,4.0,3.0,10.3,23.8,14.8,15.8,21.0
2021.0,4.0,4.0,13.2,20.6,16.9,15.6,19.0
2021.0,4.0,5.0,11.4,24.8,16.8,19.0,20.0
2021.0,4.0,6.0,10.9,26.3,16.5,18.1,20.0
2021.0,4.0,7.0,10.4,25.9,16.1,17.7,20.0
2021.0,4.0,8.0,13.8,24.7,17.7,18.7,20.0
2021.0,4.0,9.0,9.6,23.8,14.9,16.5,20.0
2021.0,4.0,10.0,8.8,23.9,14.4,15.7,20.0
2021.0,4.0,11.0,7.4,26.6,15.3,16.9,20.0
2021.0,4.0,12.0,8.6,26.4,15.6,17.0,20.0
2021.0,4.0,13.0,9.3,23.8,14.4,16.2,20.0
2021.0,4.0,14.0,13.7,16.6,15.2,15.2,19.0
2021.0,4.0,15.0,12.9,23.3,18.1,16.9,19.0
2021.0,4.0,16.0,11.1,19.4,15.3,14.5,19.0
2021.0,4.0,17.0,13.6,16.2,14.9,14.2,19.0
2021.0,4.0,18.0,12.7,22.7,17.7,16.6,17.0
2021.0,4.0,19.0,12.6,16.7,14.7,14.3,19.0
2021.0,4.0,20.0,11.7,23.4,17.5,17.3,19.0
2021.0,4.0,21.0,10.7,22.7,15.7,17.4,19.0
2021.0,4.0,22.0,9.7,16.4,13.1,13.7,20.0
2021.0,4.0,23.0,13.0,19.4,16.2,15.0,18.0
2021.0,4.0,24.0,8.2,23.1,13.6,15.1,20.0
2021.0,4.0,25.0,8.9,21.9,13.7,14.8,20.0
2021.0,4.0,26.0,9.3,17.7,13.5,12.8,19.0
2021.0,4.0,27.0,12.9,15.8,14.3,14.5,18.0
2021.0,4.0,28.0,12.5,22.7,17.6,16.2,19.0
2021.0,4.0,29.0,11.6,21.6,16.6,14.2,19.0
2021.0,4.0,30.0,13.8,23.1,18.5,17.2,19.0
2021.0,5.0,1.0,10.2,22.4,16.3,15.2,19.0
2021.0,5.0,2.0,12.4,23.2,17.8,16.0,19.0
2021.0,5.0,3.0,8.1,22.6,13.3,15.2,20.0
2021.0,5.0,4.0,8.4,22.2,14.1,15.1,20.0
2021.0,5.0,5.0,10.8,24.3,17.5,16.5,19.0
2021.0,5.0,6.0,10.4,29.7,15.9,17.7,20.0
2021.0,5.0,7.0,15.2,20.6,17.9,16.6,19.0
2021.0,5.0,8.0,10.6,20.6,15.6,14.9,19.0
2021.0,5.0,9.0,10.0,23.2,16.6,16.0,19.0
2021.0,5.0,10.0,7.0,22.4,14.7,13.7,16.0
2021.0,5.0,11.0,6.8,23.6,15.2,14.1,19.0
2021.0,5.0,12.0,7.7,24.2,16.0,14.8,19.0
2021.0,5.0,13.0,11.9,24.7,18.3,16.1,19.0
2021.0,5.0,14.0,10.2,21.7,16.0,14.7,19.0
2021.0,5.0,15.0,10.9,17.6,14.3,13.6,19.0
2021.0,5.0,16.0,11.2,26.0,18.6,15.9,19.0
2021.0,5.0,17.0,6.7,20.4,13.5,13.4,19.0
2021.0,5.0,18.0,13.1,15.8,14.5,14.4,18.0
2021.0,5.0,19.0,12.8,21.7,17.3,16.4,18.0
2021.0,5.0,20.0,9.2,20.0,14.6,13.9,19.0
2021.0,5.0,21.0,10.1,19.8,14.9,14.8,18.0
2021.0,5.0,22.0,7.9,22.3,15.1,13.2,19.0
2021.0,5.0,23.0,8.2,23.4,15.8,13.9,19.0
2021.0,5.0,24.0,10.3,23.1,16.7,15.3,18.0
2021.0,5.0,25.0,10.7,24.9,17.8,15.0,19.0
2021.0,5.0,26.0,7.4,26.2,16.8,14.9,19.0
2021.0,5.0,27.0,4.3,20.3,12.3,12.3,18.0
2021.0,5.0,28.0,8.1,22.2,15.2,15.1,19.0
2021.0,5.0,29.0,8.3,20.8,14.5,13.4,19.0
2021.0,5.0,30.0,9.5,23.9,16.7,14.5,18.0
2021.0,5.0,31.0,12.7,27.6,20.2,16.5,19.0
2021.0,9.0,1.0,6.4,19.9,11.2,11.2,24.0
2021.0,9.0,2.0,11.7,19.8,14.4,14.4,24.0
2021.0,9.0,3.0,11.3,14.8,12.7,12.7,24.0
2021.0,9.0,4.0,4.8,21.7,13.0,13.0,24.0
2021.0,9.0,5.0,3.8,19.7,11.7,12.1,23.0
2021.0,9.0,6.0,9.1,18.4,13.5,13.5,24.0
2021.0,9.0,7.0,5.5,18.4,11.8,11.8,24.0
2021.0,9.0,8.0,3.7,22.1,11.6,11.6,24.0
2021.0,9.0,9.0,3.3,22.2,12.4,12.4,24.0
2021.0,9.0,10.0,7.2,17.4,11.5,11.5,24.0
2021.0,9.0,11.0,11.2,15.6,12.7,12.7,24.0
2021.0,9.0,12.0,10.4,15.3,12.6,12.6,24.0
2021.0,9.0,13.0,6.3,18.6,11.4,11.4,24.0
2021.0,9.0,14.0,4.1,22.4,11.8,11.8,24.0
2021.0,9.0,15.0,4.7,21.4,11.6,11.6,24.0
2021.0,9.0,16.0,3.8,21.2,11.4,11.4,24.0
2021.0,9.0,17.0,11.3,20.2,13.5,13.5,24.0
2021.0,9.0,18.0,10.8,15.0,12.5,12.5,24.0
2021.0,9.0,19.0,10.6,15.9,12.8,12.8,24.0
2021.0,9.0,20.0,6.4,22.6,14.1,14.1,24.0
2021.0,9.0,21.0,4.0,14.6,10.1,10.1,24.0
2021.0,9.0,22.0,11.2,21.6,16.4,15.1,18.0
2021.0,9.0,23.0,4.6,25.6,13.9,13.9,24.0
2021.0,9.0,24.0,7.3,19.5,13.0,13.0,24.0
2021.0,9.0,25.0,11.8,23.1,15.1,15.1,24.0
2021.0,9.0,26.0,6.4,23.7,13.8,13.8,24.0
2021.0,9.0,27.0,6.1,27.6,15.0,15.0,24.0
2021.0,9.0,28.0,5.9,26.7,14.9,14.9,24.0
2021.0,9.0,29.0,3.7,19.2,11.8,11.8,24.0
2021.0,9.0,30.0,7.8,21.7,14.0,14.0,24.0
