,Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
0,2016.0,12.0,1.0,8.4,23.9,16.3,16.3,24.0
1,2016.0,12.0,2.0,6.1,24.7,15.4,15.4,24.0
2,2016.0,12.0,3.0,6.6,26.3,16.8,16.8,24.0
3,2016.0,12.0,4.0,10.3,17.1,13.6,13.6,24.0
4,2016.0,12.0,5.0,6.9,17.0,11.8,11.8,24.0
5,2016.0,12.0,6.0,9.0,18.0,12.8,12.8,24.0
6,2016.0,12.0,7.0,4.8,22.3,13.9,13.9,24.0
7,2016.0,12.0,8.0,9.8,23.6,15.8,15.8,24.0
8,2016.0,12.0,9.0,8.0,23.1,15.4,15.4,24.0
9,2016.0,12.0,10.0,14.5,22.1,17.4,17.4,24.0
10,2016.0,12.0,11.0,13.2,20.7,15.7,15.7,24.0
11,2016.0,12.0,12.0,10.4,16.9,13.5,13.5,24.0
12,2016.0,12.0,13.0,2.8,17.6,10.9,10.9,24.0
13,2016.0,12.0,14.0,3.4,24.2,13.5,13.5,24.0
14,2016.0,12.0,15.0,7.8,27.4,17.5,17.5,24.0
15,2016.0,12.0,16.0,10.1,18.8,14.9,14.9,24.0
16,2016.0,12.0,17.0,8.7,20.5,14.7,14.7,24.0
17,2016.0,12.0,18.0,5.8,22.1,14.3,14.3,24.0
18,2016.0,12.0,19.0,6.5,21.2,14.2,14.2,24.0
19,2016.0,12.0,20.0,13.2,16.4,14.8,14.8,24.0
20,2016.0,12.0,21.0,7.4,19.1,13.0,13.0,24.0
21,2016.0,12.0,22.0,5.4,17.3,11.6,11.6,24.0
22,2016.0,12.0,23.0,6.9,20.7,13.6,13.6,24.0
23,2016.0,12.0,24.0,8.8,18.2,13.5,13.5,24.0
24,2016.0,12.0,25.0,11.0,19.3,13.8,13.8,24.0
25,2016.0,12.0,26.0,9.4,17.6,13.2,13.2,24.0
26,2016.0,12.0,27.0,7.2,23.0,14.7,14.7,24.0
27,2016.0,12.0,28.0,11.0,26.6,18.6,18.6,24.0
28,2016.0,12.0,29.0,11.1,27.2,18.3,18.3,24.0
29,2016.0,12.0,30.0,9.5,24.7,16.7,16.7,24.0
30,2016.0,12.0,31.0,11.8,20.4,16.0,16.0,24.0
0,2019.0,1.0,1.0,7.0,18.4,12.7,14.2,19.0
1,2019.0,1.0,2.0,4.0,18.7,11.9,11.9,24.0
2,2019.0,1.0,3.0,5.5,19.6,12.3,12.3,24.0
3,2019.0,1.0,4.0,11.2,23.2,15.6,15.6,24.0
4,2019.0,1.0,5.0,11.9,24.0,16.5,16.5,24.0
5,2019.0,1.0,6.0,8.4,20.8,14.8,14.8,24.0
6,2019.0,1.0,7.0,11.2,16.1,13.0,13.0,24.0
7,2019.0,1.0,8.0,6.4,16.6,11.3,11.3,24.0
8,2019.0,1.0,9.0,6.2,16.0,10.8,10.8,24.0
9,2019.0,1.0,10.0,1.0,21.1,11.0,11.0,24.0
10,2019.0,1.0,11.0,3.6,18.0,12.3,12.3,24.0
11,2019.0,1.0,12.0,11.9,20.2,14.9,14.9,24.0
12,2019.0,1.0,13.0,6.8,23.0,14.7,14.7,24.0
13,2019.0,1.0,14.0,5.1,25.9,15.5,15.5,24.0
14,2019.0,1.0,15.0,6.4,20.9,14.7,14.7,24.0
15,2019.0,1.0,16.0,10.1,19.2,14.3,14.3,24.0
16,2019.0,1.0,17.0,8.7,22.8,14.4,14.4,24.0
17,2019.0,1.0,18.0,9.4,25.1,15.9,15.9,24.0
18,2019.0,1.0,19.0,8.5,25.7,16.4,16.4,24.0
19,2019.0,1.0,20.0,11.0,20.9,15.8,15.8,24.0
20,2019.0,1.0,21.0,11.0,22.1,15.4,15.4,24.0
21,2019.0,1.0,22.0,5.7,20.4,12.8,12.8,24.0
22,2019.0,1.0,23.0,3.7,25.6,14.3,14.3,24.0
23,2019.0,1.0,24.0,6.3,25.0,15.3,15.3,24.0
24,2019.0,1.0,25.0,8.2,19.5,14.5,14.5,24.0
25,2019.0,1.0,26.0,7.4,22.2,14.1,14.1,24.0
26,2019.0,1.0,27.0,5.2,21.1,13.8,13.8,24.0
27,2019.0,1.0,28.0,6.6,25.2,14.9,14.9,24.0
28,2019.0,1.0,29.0,8.2,21.4,14.9,14.9,24.0
29,2019.0,1.0,30.0,5.5,20.5,13.7,13.7,24.0
30,2019.0,1.0,31.0,4.5,23.1,13.9,13.9,24.0
0,2021.0,6.0,1.0,13.0,13.6,12.7,12.7,24.0
1,2021.0,6.0,2.0,3.5,12.5,7.4,7.4,24.0
2,2021.0,6.0,3.0,11.6,17.1,13.9,13.9,24.0
3,2021.0,6.0,4.0,6.0,13.2,9.4,9.4,24.0
4,2021.0,6.0,5.0,0.1,13.3,5.7,5.7,24.0
5,2021.0,6.0,6.0,1.8,9.8,5.1,5.1,24.0
6,2021.0,6.0,7.0,7.5,12.6,9.5,9.5,24.0
7,2021.0,6.0,8.0,10.3,13.5,11.8,11.8,24.0
8,2021.0,6.0,9.0,8.8,12.1,9.6,9.6,24.0
9,2021.0,6.0,10.0,3.7,12.1,7.5,7.5,24.0
10,2021.0,6.0,11.0,8.8,17.3,11.3,11.3,24.0
11,2021.0,6.0,12.0,11.7,12.8,11.1,11.1,24.0
12,2021.0,6.0,13.0,5.2,11.4,7.3,7.3,24.0
13,2021.0,6.0,14.0,-1.6,9.3,3.4,3.4,24.0
14,2021.0,6.0,15.0,3.1,12.7,6.3,6.3,24.0
15,2021.0,6.0,16.0,-2.7,11.1,3.1,3.1,24.0
16,2021.0,6.0,17.0,-3.1,12.6,2.7,2.7,24.0
17,2021.0,6.0,18.0,-3.7,12.7,2.6,2.6,24.0
18,2021.0,6.0,19.0,-2.1,9.2,1.3,1.3,24.0
19,2021.0,6.0,20.0,-1.3,10.2,2.4,2.4,24.0
20,2021.0,6.0,21.0,7.6,12.7,9.7,9.7,24.0
21,2021.0,6.0,22.0,6.8,10.2,8.2,8.2,24.0
22,2021.0,6.0,23.0,5.6,12.1,8.5,8.5,24.0
23,2021.0,6.0,24.0,8.0,12.4,9.0,9.0,24.0
24,2021.0,6.0,25.0,3.2,10.0,6.2,6.2,24.0
25,2021.0,6.0,26.0,-0.6,7.2,2.3,2.3,24.0
26,2021.0,6.0,27.0,-2.4,7.7,0.6,0.6,24.0
27,2021.0,6.0,28.0,-3.2,2.7,-0.8,-0.8,24.0
28,2021.0,6.0,29.0,-1.9,3.3,0.1,0.1,24.0
29,2021.0,6.0,30.0,-0.4,11.2,4.6,4.6,24.0
0,2021.0,7.0,1.0,6.7,11.9,8.6,8.6,24.0
1,2021.0,7.0,2.0,3.4,12.1,7.0,7.0,24.0
2,2021.0,7.0,3.0,7.7,13.2,9.7,9.7,24.0
3,2021.0,7.0,4.0,4.6,10.4,6.9,6.9,24.0
4,2021.0,7.0,5.0,5.6,12.5,8.3,8.3,24.0
5,2021.0,7.0,6.0,8.8,12.0,9.7,9.7,24.0
6,2021.0,7.0,7.0,8.7,11.0,9.6,9.6,24.0
7,2021.0,7.0,8.0,8.5,12.0,9.6,9.6,24.0
8,2021.0,7.0,9.0,7.0,11.1,8.5,8.5,24.0
9,2021.0,7.0,10.0,2.9,10.6,6.5,6.5,24.0
10,2021.0,7.0,11.0,4.3,12.2,7.3,7.3,24.0
11,2021.0,7.0,12.0,5.7,11.5,7.3,7.3,24.0
12,2021.0,7.0,13.0,1.1,8.3,3.9,3.9,24.0
13,2021.0,7.0,14.0,1.4,11.0,5.8,5.8,24.0
14,2021.0,7.0,15.0,4.5,11.4,7.6,7.6,24.0
15,2021.0,7.0,16.0,2.9,9.9,6.1,6.1,24.0
16,2021.0,7.0,17.0,-0.3,10.0,4.0,4.0,24.0
17,2021.0,7.0,18.0,-3.0,4.5,0.0,0.0,24.0
18,2021.0,7.0,19.0,-0.4,12.5,4.5,4.5,24.0
19,2021.0,7.0,20.0,9.0,11.7,10.2,10.2,24.0
20,2021.0,7.0,21.0,8.6,12.7,10.0,10.0,24.0
21,2021.0,7.0,22.0,5.7,12.7,9.2,9.2,24.0
22,2021.0,7.0,23.0,3.6,11.5,8.6,8.6,24.0
23,2021.0,7.0,24.0,-1.1,9.5,4.6,4.6,24.0
24,2021.0,7.0,25.0,6.5,10.8,7.7,7.7,24.0
25,2021.0,7.0,26.0,-2.2,10.5,4.0,4.0,24.0
26,2021.0,7.0,27.0,-1.8,10.9,4.9,4.9,24.0
27,2021.0,7.0,28.0,1.1,11.7,5.6,5.6,24.0
28,2021.0,7.0,29.0,3.8,7.6,5.2,5.2,24.0
29,2021.0,7.0,30.0,3.4,9.6,5.6,5.6,24.0
30,2021.0,7.0,31.0,-2.1,10.3,2.8,2.8,24.0
0,2021.0,8.0,1.0,-1.7,10.2,2.0,2.0,24.0
1,2021.0,8.0,2.0,-0.4,15.2,4.6,4.6,24.0
2,2021.0,8.0,3.0,7.4,11.0,9.2,9.2,24.0
3,2021.0,8.0,4.0,4.5,17.1,8.4,8.4,24.0
4,2021.0,8.0,5.0,9.6,12.3,11.0,11.0,24.0
5,2021.0,8.0,6.0,9.4,10.9,10.0,10.0,24.0
6,2021.0,8.0,7.0,-0.2,11.1,5.4,5.4,24.0
7,2021.0,8.0,8.0,2.3,11.3,6.0,6.0,24.0
8,2021.0,8.0,9.0,1.6,9.2,5.9,5.9,24.0
9,2021.0,8.0,10.0,5.7,9.2,7.0,7.0,24.0
10,2021.0,8.0,11.0,6.0,14.6,9.0,9.0,24.0
11,2021.0,8.0,12.0,4.6,14.0,7.7,7.7,24.0
12,2021.0,8.0,13.0,-0.1,8.6,5.2,5.2,24.0
13,2021.0,8.0,14.0,4.7,8.4,6.3,6.3,24.0
14,2021.0,8.0,15.0,4.3,10.4,7.0,7.0,24.0
15,2021.0,8.0,16.0,8.3,14.1,10.5,10.5,24.0
16,2021.0,8.0,17.0,7.0,12.2,9.3,9.3,24.0
17,2021.0,8.0,18.0,4.9,12.8,9.4,9.4,24.0
18,2021.0,8.0,19.0,5.6,10.4,7.7,7.7,24.0
19,2021.0,8.0,20.0,2.9,11.3,7.3,7.3,24.0
20,2021.0,8.0,21.0,5.6,9.2,7.2,7.2,24.0
21,2021.0,8.0,22.0,4.4,10.8,6.7,6.7,24.0
22,2021.0,8.0,23.0,-1.8,10.2,3.0,3.0,24.0
23,2021.0,8.0,24.0,-1.3,9.7,4.3,4.3,24.0
24,2021.0,8.0,25.0,5.4,12.4,7.7,7.7,24.0
25,2021.0,8.0,26.0,2.2,11.3,7.1,7.1,24.0
26,2021.0,8.0,27.0,6.6,9.5,8.0,8.0,24.0
27,2021.0,8.0,28.0,6.8,12.9,9.4,9.4,24.0
28,2021.0,8.0,29.0,10.9,16.6,13.1,13.1,24.0
29,2021.0,8.0,30.0,9.9,15.1,12.1,12.1,24.0
30,2021.0,8.0,31.0,7.4,16.1,11.5,11.5,24.0
0,2021.0,9.0,1.0,6.5,16.4,10.6,10.6,24.0
1,2021.0,9.0,2.0,6.7,13.7,9.7,9.7,24.0
2,2021.0,9.0,3.0,5.1,13.5,9.0,9.0,24.0
3,2021.0,9.0,4.0,8.2,12.3,9.9,9.9,24.0
4,2021.0,9.0,5.0,9.7,14.1,10.9,10.9,24.0
5,2021.0,9.0,6.0,6.3,12.2,8.6,8.6,24.0
6,2021.0,9.0,7.0,0.7,15.6,7.6,7.6,24.0
7,2021.0,9.0,8.0,1.6,17.3,8.3,8.3,24.0
8,2021.0,9.0,9.0,7.1,17.8,11.5,11.5,24.0
