Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
1999.0,1.0,1.0,13.6,29.2,21.4,21.2,2.0
1999.0,1.0,2.0,12.6,29.8,21.2,24.1,3.0
1999.0,1.0,3.0,13.4,29.4,21.4,23.2,3.0
1999.0,1.0,4.0,15.0,30.0,22.5,21.9,3.0
1999.0,1.0,5.0,12.2,29.2,20.7,22.3,3.0
1999.0,1.0,6.0,12.4,29.0,20.7,22.7,3.0
1999.0,1.0,7.0,10.2,27.8,19.0,22.2,3.0
1999.0,1.0,8.0,12.8,29.2,21.0,23.1,3.0
1999.0,1.0,9.0,12.0,29.8,20.9,24.1,3.0
1999.0,1.0,10.0,12.8,29.0,20.9,23.4,3.0
1999.0,1.0,11.0,11.0,27.2,19.1,19.7,3.0
1999.0,1.0,12.0,11.2,28.0,19.6,20.5,3.0
1999.0,1.0,13.0,13.0,30.0,21.5,21.9,3.0
1999.0,1.0,14.0,13.8,29.0,21.4,22.1,3.0
1999.0,1.0,15.0,11.0,27.0,19.0,19.9,3.0
1999.0,1.0,16.0,10.0,24.0,17.0,17.1,3.0
1999.0,1.0,17.0,11.0,23.0,17.0,18.5,3.0
1999.0,1.0,18.0,9.6,25.8,17.7,18.8,3.0
1999.0,1.0,19.0,10.8,25.6,18.2,19.5,3.0
1999.0,1.0,20.0,9.8,24.6,17.2,17.9,3.0
1999.0,1.0,21.0,11.2,26.8,19.0,19.7,3.0
1999.0,1.0,22.0,11.0,27.6,19.3,20.7,3.0
1999.0,1.0,23.0,11.4,28.0,19.7,20.3,3.0
1999.0,1.0,24.0,13.8,32.6,23.2,22.7,3.0
1999.0,1.0,25.0,14.0,30.6,22.3,24.4,3.0
1999.0,1.0,26.0,11.6,29.6,20.6,21.0,3.0
1999.0,1.0,27.0,12.0,30.0,21.0,21.3,3.0
1999.0,1.0,28.0,13.4,28.4,20.9,22.3,3.0
1999.0,1.0,29.0,13.0,29.0,21.0,22.4,3.0
1999.0,1.0,30.0,14.2,29.4,21.8,22.6,3.0
1999.0,1.0,31.0,13.8,30.0,21.9,23.3,3.0
1999.0,2.0,1.0,12.2,30.0,21.1,21.9,3.0
1999.0,2.0,2.0,11.2,30.0,20.6,22.0,3.0
1999.0,2.0,3.0,12.8,30.4,21.6,22.1,3.0
1999.0,2.0,4.0,13.6,30.4,22.0,22.7,3.0
1999.0,2.0,5.0,14.4,28.8,21.6,22.0,3.0
1999.0,2.0,6.0,13.4,27.8,20.6,21.4,3.0
1999.0,2.0,7.0,14.0,30.0,22.0,22.3,3.0
1999.0,2.0,8.0,14.2,30.6,22.4,22.7,3.0
1999.0,2.0,9.0,13.8,30.8,22.3,22.6,3.0
1999.0,2.0,10.0,14.2,31.0,22.6,23.8,3.0
1999.0,2.0,11.0,15.0,31.0,23.0,23.3,3.0
1999.0,2.0,12.0,12.6,28.2,20.4,20.9,3.0
1999.0,2.0,13.0,12.0,29.0,20.5,21.1,3.0
1999.0,2.0,14.0,15.4,29.2,22.3,22.5,3.0
1999.0,2.0,15.0,13.0,29.6,21.3,21.3,3.0
1999.0,2.0,16.0,14.2,29.8,22.0,22.5,3.0
1999.0,2.0,17.0,13.6,29.6,21.6,21.9,3.0
1999.0,2.0,18.0,13.8,30.2,22.0,22.3,3.0
1999.0,2.0,19.0,14.6,29.6,22.1,22.8,3.0
1999.0,2.0,20.0,15.2,29.2,22.2,22.7,3.0
1999.0,2.0,21.0,13.4,29.8,21.6,20.5,3.0
1999.0,2.0,22.0,13.6,30.4,22.0,23.4,3.0
1999.0,2.0,23.0,14.4,29.8,22.1,22.1,3.0
1999.0,2.0,24.0,14.0,29.0,21.5,22.5,3.0
1999.0,2.0,25.0,13.2,28.6,20.9,21.7,3.0
1999.0,2.0,26.0,12.2,28.8,20.5,21.7,3.0
1999.0,2.0,27.0,14.0,29.2,21.6,22.9,3.0
1999.0,2.0,28.0,11.8,24.8,18.3,19.9,3.0
1999.0,3.0,1.0,12.8,27.8,20.3,18.7,3.0
1999.0,3.0,2.0,12.2,29.4,20.8,21.7,3.0
1999.0,3.0,3.0,11.6,27.6,19.6,20.1,3.0
1999.0,3.0,4.0,12.4,27.8,20.1,21.5,3.0
1999.0,3.0,5.0,12.6,27.5,20.1,22.1,3.0
1999.0,3.0,6.0,10.0,24.2,17.1,18.6,3.0
1999.0,3.0,7.0,9.4,27.2,18.3,19.0,3.0
1999.0,3.0,8.0,12.4,29.8,21.1,20.9,3.0
1999.0,3.0,9.0,13.8,29.6,21.7,21.7,3.0
1999.0,3.0,10.0,13.0,30.0,21.5,21.8,3.0
1999.0,3.0,11.0,13.8,30.0,21.9,22.3,3.0
1999.0,3.0,12.0,11.0,26.0,18.5,21.5,3.0
1999.0,3.0,13.0,13.0,27.2,20.1,20.3,3.0
1999.0,3.0,14.0,11.6,28.0,19.8,19.7,3.0
1999.0,3.0,15.0,11.6,28.0,19.8,19.8,3.0
1999.0,3.0,16.0,13.6,28.0,20.8,20.5,3.0
1999.0,3.0,17.0,11.4,27.0,19.2,19.6,3.0
1999.0,3.0,18.0,11.0,27.0,19.0,19.4,3.0
1999.0,3.0,19.0,11.8,29.6,20.7,20.4,3.0
1999.0,3.0,20.0,13.0,30.0,21.5,21.3,3.0
1999.0,3.0,21.0,13.0,29.0,21.0,21.5,3.0
1999.0,3.0,22.0,13.0,29.0,21.0,21.3,3.0
1999.0,3.0,23.0,13.0,29.0,21.0,20.5,3.0
1999.0,3.0,24.0,13.0,29.6,21.3,21.8,3.0
1999.0,3.0,25.0,13.6,30.0,21.8,21.7,3.0
1999.0,3.0,26.0,14.0,28.6,21.3,22.7,3.0
1999.0,3.0,27.0,10.2,24.2,17.2,17.6,3.0
1999.0,3.0,28.0,10.2,26.4,18.3,18.1,3.0
1999.0,3.0,29.0,11.4,16.0,13.7,18.7,3.0
1999.0,3.0,30.0,11.2,26.6,18.9,18.7,3.0
1999.0,3.0,31.0,10.4,25.6,18.0,18.3,3.0
1999.0,4.0,1.0,9.2,21.2,15.2,16.2,3.0
1999.0,4.0,2.0,9.0,23.2,16.1,15.4,3.0
1999.0,4.0,3.0,9.4,22.6,16.0,15.9,3.0
1999.0,4.0,4.0,7.6,26.4,17.0,18.4,3.0
1999.0,4.0,5.0,11.2,28.6,19.9,20.5,3.0
1999.0,4.0,6.0,12.6,27.6,20.1,19.7,3.0
1999.0,4.0,7.0,10.8,27.2,19.0,18.7,3.0
1999.0,4.0,8.0,13.0,27.0,20.0,18.6,3.0
1999.0,4.0,9.0,9.6,26.0,17.8,18.1,3.0
1999.0,4.0,10.0,6.8,26.4,16.6,16.8,3.0
1999.0,4.0,11.0,9.0,26.8,17.9,17.5,3.0
1999.0,4.0,12.0,9.8,27.6,18.7,19.1,3.0
1999.0,4.0,13.0,11.2,26.2,18.7,17.5,3.0
1999.0,4.0,14.0,9.4,26.4,17.9,17.2,3.0
1999.0,4.0,15.0,10.4,27.0,18.7,18.0,3.0
1999.0,4.0,16.0,10.6,30.0,20.3,19.3,3.0
1999.0,4.0,17.0,11.0,29.0,20.0,19.8,3.0
1999.0,4.0,18.0,11.2,27.4,19.3,19.1,3.0
1999.0,4.0,19.0,10.8,27.0,18.9,17.8,3.0
1999.0,4.0,20.0,11.2,27.0,19.1,18.2,3.0
1999.0,4.0,21.0,11.4,29.0,20.2,19.5,3.0
1999.0,4.0,22.0,11.4,28.4,19.9,19.1,3.0
1999.0,4.0,23.0,15.4,23.8,19.6,20.1,3.0
1999.0,4.0,24.0,9.0,23.0,16.0,14.9,3.0
1999.0,4.0,25.0,5.0,17.0,11.0,14.6,3.0
1999.0,4.0,26.0,5.0,25.0,15.0,13.9,3.0
1999.0,4.0,27.0,6.0,29.0,17.5,17.3,3.0
1999.0,4.0,28.0,7.0,26.0,16.5,18.3,3.0
1999.0,4.0,29.0,6.4,25.0,15.7,17.1,3.0
1999.0,4.0,30.0,6.2,28.0,17.1,18.4,3.0
1999.0,5.0,1.0,7.6,22.8,15.2,17.0,3.0
1999.0,5.0,2.0,6.0,26.0,16.0,18.1,3.0
1999.0,5.0,3.0,6.0,25.0,15.5,17.3,3.0
1999.0,5.0,4.0,6.8,22.0,14.4,16.1,3.0
1999.0,5.0,5.0,5.0,23.8,14.4,15.8,3.0
1999.0,5.0,6.0,7.0,27.4,17.2,15.9,3.0
1999.0,5.0,7.0,10.6,28.0,19.3,18.2,3.0
1999.0,5.0,8.0,7.0,25.0,16.0,15.7,3.0
