,Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
0,1960.0,1.0,1.0,14.5,29.4,21.9,22.7,3.0
1,1960.0,1.0,2.0,10.0,25.0,17.5,21.4,3.0
2,1960.0,1.0,3.0,13.0,26.5,19.8,21.8,4.0
3,1960.0,1.0,4.0,12.0,18.8,15.4,16.3,4.0
4,1960.0,1.0,5.0,15.0,21.4,18.2,19.0,4.0
5,1960.0,1.0,6.0,14.0,22.5,18.3,18.5,4.0
6,1960.0,1.0,7.0,15.0,22.4,18.7,18.7,4.0
7,1960.0,1.0,8.0,11.9,21.7,16.8,16.5,4.0
8,1960.0,1.0,9.0,11.0,21.4,16.2,17.3,4.0
9,1960.0,1.0,10.0,8.2,25.0,16.6,19.5,4.0
10,1960.0,1.0,11.0,12.4,19.0,15.7,15.7,4.0
11,1960.0,1.0,12.0,15.7,19.4,17.5,18.7,4.0
12,1960.0,1.0,13.0,15.2,25.4,20.3,21.0,4.0
13,1960.0,1.0,14.0,15.4,24.7,20.1,20.4,4.0
14,1960.0,1.0,15.0,16.4,20.6,18.5,18.2,4.0
15,1960.0,1.0,16.0,12.8,22.0,17.4,17.5,5.0
16,1960.0,1.0,17.0,15.0,19.2,17.1,18.0,4.0
17,1960.0,1.0,18.0,11.0,16.9,13.9,14.2,4.0
18,1960.0,1.0,19.0,9.0,20.2,14.6,15.3,4.0
19,1960.0,1.0,20.0,9.6,26.5,18.1,19.4,4.0
20,1960.0,1.0,21.0,13.0,16.4,14.7,14.9,4.0
21,1960.0,1.0,22.0,10.0,15.6,12.8,13.9,4.0
22,1960.0,1.0,23.0,11.4,22.4,16.9,18.5,4.0
23,1960.0,1.0,24.0,13.0,16.5,14.8,15.3,4.0
24,1960.0,1.0,25.0,12.8,18.0,15.4,14.8,4.0
25,1960.0,1.0,26.0,10.0,14.6,12.3,12.8,4.0
26,1960.0,1.0,27.0,8.4,18.8,13.6,14.9,4.0
27,1960.0,1.0,28.0,7.4,19.8,13.6,15.5,4.0
28,1960.0,1.0,29.0,8.0,19.0,13.5,15.2,4.0
29,1960.0,1.0,30.0,10.7,19.6,15.2,16.6,4.0
30,1960.0,1.0,31.0,14.0,22.0,18.0,17.3,4.0
0,1960.0,2.0,1.0,12.0,18.5,15.3,17.1,4.0
1,1960.0,2.0,2.0,14.6,19.0,16.8,16.6,4.0
2,1960.0,2.0,3.0,10.0,15.6,12.8,13.4,4.0
3,1960.0,2.0,4.0,10.5,18.6,14.6,15.0,4.0
4,1960.0,2.0,5.0,6.0,21.0,13.5,15.9,4.0
5,1960.0,2.0,6.0,12.4,18.2,15.3,15.7,4.0
6,1960.0,2.0,7.0,10.0,19.2,14.6,15.1,5.0
7,1960.0,2.0,8.0,5.8,21.6,13.7,16.4,4.0
8,1960.0,2.0,9.0,8.3,18.0,13.2,14.9,4.0
9,1960.0,2.0,10.0,11.0,19.0,15.0,15.6,4.0
10,1960.0,2.0,11.0,8.0,23.0,15.5,17.2,4.0
11,1960.0,2.0,12.0,12.0,20.0,16.0,17.2,4.0
12,1960.0,2.0,13.0,12.0,18.5,15.3,16.7,4.0
13,1960.0,2.0,14.0,10.4,14.0,12.2,11.6,4.0
14,1960.0,2.0,15.0,7.3,15.5,11.4,13.0,4.0
15,1960.0,2.0,16.0,8.0,16.0,12.0,12.7,4.0
16,1960.0,2.0,17.0,8.2,16.6,12.4,14.1,4.0
17,1960.0,2.0,18.0,10.0,18.0,14.0,14.3,4.0
18,1960.0,2.0,19.0,8.3,19.4,13.8,16.3,4.0
19,1960.0,2.0,20.0,9.8,16.0,12.9,13.5,4.0
20,1960.0,2.0,21.0,12.1,23.2,17.7,19.4,4.0
21,1960.0,2.0,22.0,11.4,20.2,15.8,14.5,4.0
22,1960.0,2.0,23.0,6.8,16.5,11.7,13.1,4.0
23,1960.0,2.0,24.0,5.0,26.0,15.5,17.6,4.0
24,1960.0,2.0,25.0,8.1,27.4,17.8,21.0,4.0
25,1960.0,2.0,26.0,12.4,25.0,18.7,20.0,4.0
26,1960.0,2.0,27.0,10.3,17.6,14.0,15.6,4.0
27,1960.0,2.0,28.0,13.4,18.3,15.8,16.5,4.0
28,1960.0,2.0,29.0,9.2,18.0,13.6,14.5,4.0
0,1960.0,3.0,1.0,8.5,18.6,13.6,14.5,4.0
1,1960.0,3.0,2.0,5.3,21.5,13.4,15.3,4.0
2,1960.0,3.0,3.0,8.4,19.4,13.9,14.5,4.0
3,1960.0,3.0,4.0,8.2,15.3,11.8,12.9,4.0
4,1960.0,3.0,5.0,8.8,15.6,12.2,12.9,4.0
5,1960.0,3.0,6.0,2.0,17.0,9.5,11.3,4.0
6,1960.0,3.0,7.0,2.0,18.0,10.0,12.5,4.0
7,1960.0,3.0,8.0,7.4,18.4,12.9,14.5,4.0
8,1960.0,3.0,9.0,5.0,22.0,13.5,15.3,4.0
9,1960.0,3.0,10.0,4.2,23.0,13.6,15.5,4.0
10,1960.0,3.0,11.0,6.8,23.0,14.9,17.5,4.0
11,1960.0,3.0,12.0,7.3,22.2,14.8,15.6,4.0
12,1960.0,3.0,13.0,7.2,25.0,16.1,18.3,4.0
13,1960.0,3.0,14.0,8.2,22.6,15.4,17.1,4.0
14,1960.0,3.0,15.0,8.0,19.5,13.8,15.2,4.0
15,1960.0,3.0,16.0,11.4,17.4,14.4,14.1,4.0
16,1960.0,3.0,17.0,2.0,16.8,9.4,12.0,4.0
17,1960.0,3.0,18.0,5.0,18.8,11.9,14.0,4.0
18,1960.0,3.0,19.0,10.8,18.2,14.5,15.1,4.0
19,1960.0,3.0,20.0,8.7,15.0,11.8,12.2,4.0
20,1960.0,3.0,21.0,6.4,13.4,9.9,10.3,4.0
21,1960.0,3.0,22.0,5.2,16.0,10.6,11.4,4.0
22,1960.0,3.0,23.0,2.6,17.8,10.2,11.0,4.0
23,1960.0,3.0,24.0,10.4,15.2,12.8,12.6,4.0
24,1960.0,3.0,25.0,9.0,14.4,11.7,11.9,4.0
25,1960.0,3.0,26.0,8.4,15.8,12.1,12.0,4.0
26,1960.0,3.0,27.0,6.4,13.6,10.0,10.8,4.0
27,1960.0,3.0,28.0,8.2,16.0,12.1,13.2,4.0
28,1960.0,3.0,29.0,5.0,16.7,10.9,13.5,4.0
29,1960.0,3.0,30.0,9.2,15.4,12.3,12.6,4.0
30,1960.0,3.0,31.0,9.3,14.0,11.7,12.4,4.0
0,1960.0,4.0,1.0,7.2,12.0,9.6,10.5,4.0
1,1960.0,4.0,2.0,7.2,13.4,10.3,10.1,4.0
2,1960.0,4.0,3.0,8.0,13.0,10.5,11.2,4.0
3,1960.0,4.0,4.0,8.2,12.4,10.3,10.5,4.0
4,1960.0,4.0,5.0,7.8,13.4,10.6,11.4,4.0
5,1960.0,4.0,6.0,8.2,13.3,10.8,10.0,4.0
6,1960.0,4.0,7.0,5.2,11.5,8.3,9.1,4.0
7,1960.0,4.0,8.0,5.0,12.4,8.7,9.7,4.0
8,1960.0,4.0,9.0,2.4,12.3,7.4,9.0,4.0
9,1960.0,4.0,10.0,1.0,9.0,5.0,5.6,4.0
10,1960.0,4.0,11.0,6.3,12.0,9.2,9.8,4.0
11,1960.0,4.0,12.0,2.6,11.7,7.1,8.1,4.0
12,1960.0,4.0,13.0,4.1,11.0,7.5,8.3,4.0
13,1960.0,4.0,14.0,7.1,13.4,10.2,9.7,4.0
14,1960.0,4.0,15.0,6.4,14.2,10.3,10.7,4.0
15,1960.0,4.0,16.0,7.2,12.0,9.6,9.9,4.0
16,1960.0,4.0,17.0,8.3,12.7,10.5,11.3,4.0
17,1960.0,4.0,18.0,6.0,12.0,9.0,9.3,4.0
18,1960.0,4.0,19.0,9.1,14.0,11.6,12.0,4.0
19,1960.0,4.0,20.0,11.8,16.0,13.9,14.0,4.0
20,1960.0,4.0,21.0,9.2,16.7,13.0,14.8,4.0
21,1960.0,4.0,22.0,8.4,15.8,12.1,12.8,4.0
