Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2021,7,1 ,0.2,s/p,0.1,s/p,0.3,0.3
2021,7,2 ,s/p,s/p,s/p,s/p,s/p,0.3
2021,7,3 ,s/p,s/p,s/p,s/p,s/p,0.3
2021,7,4 ,s/p,,s/p,0.1,0.1,0.4
2021,7,5 ,0.1,s/p,s/p,s/p,0.1,0.5
2021,7,6 ,s/p,2.4,s/p,s/p,2.4,2.9
2021,7,7 ,s/p,s/p,,0.1,0.1,3.0
2021,7,8 ,s/p,,1.1,,1.1,4.1
2021,7,9 ,0.1,,0.1,,0.2,4.3
2021,7,10 ,s/p,s/p,s/p,s/p,s/p,4.3
2021,7,11 ,0.1,s/p,s/p,s/p,0.1,4.4
2021,7,12 ,0.1,,s/p,0.1,0.2,4.6
2021,7,13 ,s/p,s/p,s/p,s/p,s/p,4.6
2021,7,14 ,0.1,s/p,s/p,0.1,0.2,4.8
2021,7,15 ,0.1,s/p,s/p,1.4,1.5,6.3
2021,7,16 ,0.1,s/p,,s/p,0.1,6.4
2021,7,17 ,s/p,,,s/p,s/p,6.4
2021,7,18 ,s/p,s/p,s/p,s/p,s/p,6.4
2021,7,19 ,s/p,s/p,s/p,s/p,s/p,6.4
2021,7,20 ,s/p,s/p,,,s/p,6.4
2021,7,21 ,s/p,,0.1,0.1,0.2,6.6
2021,7,22 ,0.1,s/p,,,0.1,6.7
2021,7,23 ,,s/p,s/p,s/p,s/p,6.7
2021,7,24 ,0.3,0.3,2.1,16.1,18.8,25.5
2021,7,25 ,4.2,9.3,0.2,s/p,13.7,39.2
2021,7,26 ,s/p,s/p,,s/p,s/p,39.2
2021,7,27 ,s/p,s/p,,s/p,s/p,39.2
2021,7,28 ,s/p,s/p,,s/p,s/p,39.2
2021,7,29 ,s/p,s/p,s/p,s/p,s/p,39.2
2021,7,30 ,0.1,s/p,,,0.1,39.3
2021,7,31 ,0.1,s/p,,0.1,0.2,39.5
