Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1974,9,1 ,,,,,s/p,s/p
1974,9,2 ,,,,,s/p,s/p
1974,9,3 ,,,,,s/p,s/p
1974,9,4 ,,,,,s/p,s/p
1974,9,5 ,,,,,s/p,s/p
1974,9,6 ,,,,,s/p,s/p
1974,9,7 ,,,,,s/p,s/p
1974,9,8 ,,,,,s/p,s/p
1974,9,9 ,,,,,s/p,s/p
1974,9,10 ,,,,,s/p,s/p
1974,9,11 ,,,,,1.4,1.4
1974,9,12 ,,,,,0.4,1.8
1974,9,13 ,,,,,1.4,3.2
1974,9,14 ,,,,,12.3,15.5
1974,9,15 ,,,,,s/p,15.5
1974,9,16 ,,,,,s/p,15.5
1974,9,17 ,,,,,s/p,15.5
1974,9,18 ,,,,,s/p,15.5
1974,9,19 ,,,,,0.7,16.2
1974,9,20 ,,,,,s/p,16.2
1974,9,21 ,,,,,s/p,16.2
1974,9,22 ,,,,,s/p,16.2
1974,9,23 ,,,,,0.3,16.5
1974,9,24 ,,,,,14.4,30.9
1974,9,25 ,,,,,0.9,31.8
1974,9,26 ,,,,,s/p,31.8
1974,9,27 ,,,,,0.3,32.1
1974,9,28 ,,,,,s/p,32.1
1974,9,29 ,,,,,s/p,32.1
1974,9,30 ,,,,,s/p,32.1
