Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1977,6,1 ,,,,,s/p,s/p
1977,6,2 ,,,,,s/p,s/p
1977,6,3 ,,,,,s/p,s/p
1977,6,4 ,,,,,s/p,s/p
1977,6,5 ,,,,,s/p,s/p
1977,6,6 ,,,,,s/p,s/p
1977,6,7 ,,,,,s/p,s/p
1977,6,8 ,,,,,s/p,s/p
1977,6,9 ,,,,,s/p,s/p
1977,6,10 ,,,,,s/p,s/p
1977,6,11 ,,,,,s/p,s/p
1977,6,12 ,,,,,s/p,s/p
1977,6,13 ,,,,,17.8,17.8
1977,6,14 ,,,,,34.2,52.0
1977,6,15 ,,,,,s/p,52.0
1977,6,16 ,,,,,7.7,59.7
1977,6,17 ,,,,,24.5,84.2
1977,6,18 ,,,,,0.3,84.5
1977,6,19 ,,,,,0.5,85.0
1977,6,20 ,,,,,7.8,92.8
1977,6,21 ,,,,,0.3,93.1
1977,6,22 ,,,,,9.9,103.0
1977,6,23 ,,,,,s/p,103.0
1977,6,24 ,,,,,s/p,103.0
1977,6,25 ,,,,,s/p,103.0
1977,6,26 ,,,,,19.6,122.6
1977,6,27 ,,,,,s/p,122.6
1977,6,28 ,,,,,s/p,122.6
1977,6,29 ,,,,,27.6,150.2
1977,6,30 ,,,,,26.1,176.3
