Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1973,6,1 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,2 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,3 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,4 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,5 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,6 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,7 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,8 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,9 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,10 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,11 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,12 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,13 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,14 ,s/p,s/p,s/p,s/p,s/p,s/p
1973,6,15 ,5.0,16.2,3.6,2.5,27.3,27.3
1973,6,16 ,s/p,0.2,s/p,s/p,0.2,27.5
1973,6,17 ,s/p,s/p,s/p,s/p,s/p,27.5
1973,6,18 ,s/p,s/p,s/p,s/p,s/p,27.5
1973,6,19 ,s/p,s/p,s/p,s/p,s/p,27.5
1973,6,20 ,s/p,s/p,s/p,s/p,s/p,27.5
1973,6,21 ,s/p,s/p,s/p,s/p,s/p,27.5
1973,6,22 ,s/p,s/p,s/p,s/p,s/p,27.5
1973,6,23 ,s/p,s/p,s/p,s/p,s/p,27.5
1973,6,24 ,s/p,s/p,s/p,s/p,s/p,27.5
1973,6,25 ,5.3,1.6,s/p,0.7,7.6,35.1
1973,6,26 ,s/p,s/p,0.2,0.2,0.4,35.5
1973,6,27 ,s/p,s/p,s/p,s/p,s/p,35.5
1973,6,28 ,s/p,s/p,s/p,s/p,s/p,35.5
1973,6,29 ,s/p,s/p,s/p,s/p,s/p,35.5
1973,6,30 ,s/p,s/p,s/p,s/p,s/p,35.5
