Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
1991,4,1,18.3,26.2,22.3,21.2,12
1991,4,2,18.4,26.7,22.5,22.5,8
1991,4,3,20.4,26.3,23.6,23.6,8
1991,4,4,22.0,26.6,24.0,24.0,8
1991,4,5,22.4,26.7,24.1,24.1,13
1991,4,6,23.1,26.9,24.2,24.5,16
1991,4,7,22.8,26.5,24.3,24.2,18
1991,4,8,23.0,27.0,24.3,23.9,12
1991,4,9,22.5,26.9,24.2,24.2,8
1991,4,10,22.2,25.2,23.5,23.5,8
1991,4,11,21.6,26.1,23.1,23.1,8
1991,4,12,19.3,26.0,22.5,23.0,14
1991,4,13,21.1,26.0,23.1,22.6,12
1991,4,14,20.0,24.4,21.9,21.9,14
1991,4,15,19.7,25.9,22.0,21.6,12
1991,4,16,19.5,21.8,21.4,21.4,8
1991,4,17,18.3,24.6,20.1,20.1,8
1991,4,18,17.5,25.5,21.4,21.4,8
1991,4,19,21.7,26.3,23.4,23.7,14
1991,4,20,20.5,21.6,21.8,21.9,12
1991,4,21,19.2,21.2,20.4,20.4,14
1991,4,22,20.4,22.4,20.8,20.8,13
1991,4,23,17.0,23.6,20.1,20.1,8
1991,4,24,16.8,24.2,20.0,20.0,8
1991,4,25,18.6,23.7,20.9,20.9,8
1991,4,26,16.2,23.5,20.1,20.1,14
1991,4,27,16.8,24.0,20.4,19.4,13
1991,4,28,15.7,23.9,19.3,19.7,15
1991,4,29,16.8,24.6,20.4,19.4,12
1991,4,30,21.0,22.3,22.2,22.2,8
