Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
1961,6,1,.,.,.,18.5,7
1961,6,2,.,.,.,21.5,7
1961,6,3,.,.,.,20.9,7
1961,6,4,.,.,.,20.4,7
1961,6,5,.,.,.,20.2,7
1961,6,6,.,.,.,19.4,7
1961,6,7,.,.,.,19.7,7
1961,6,8,.,.,.,18.7,7
1961,6,9,.,.,.,18.3,7
1961,6,10,.,.,.,17.0,7
1961,6,11,.,.,.,18.5,7
1961,6,12,.,.,.,19.3,7
1961,6,13,.,.,.,19.5,7
1961,6,14,.,.,.,20.0,7
1961,6,15,.,.,.,20.1,7
1961,6,16,.,.,.,18.1,7
1961,6,17,.,.,.,18.1,7
1961,6,18,.,.,.,18.4,7
1961,6,19,.,.,.,20.9,7
1961,6,20,.,.,.,21.5,7
1961,6,21,.,.,.,19.3,7
1961,6,22,.,.,.,17.7,7
1961,6,23,.,.,.,16.6,7
1961,6,24,.,.,.,18.2,7
1961,6,25,.,.,.,18.3,7
1961,6,26,.,.,.,19.5,7
1961,6,27,.,.,.,19.5,7
1961,6,28,.,.,.,19.0,7
1961,6,29,.,.,.,19.7,7
1961,6,30,.,.,.,18.1,7
