Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
1987,10,1,8.0,20.4,13.3,14.2,18
1987,10,2,10.0,15.7,12.6,13.1,18
1987,10,3,9.1,17.9,13.9,14.4,18
1987,10,4,10.2,20.0,14.0,14.6,18
1987,10,5,8.0,20.4,13.2,14.3,18
1987,10,6,9.7,19.9,14.0,14.8,18
1987,10,7,8.9,18.1,13.5,14.2,18
1987,10,8,10.0,17.6,13.8,14.2,18
1987,10,9,13.0,17.6,14.7,15.2,18
1987,10,10,12.8,18.5,15.4,15.8,18
1987,10,11,11.9,19.4,15.6,16.1,18
1987,10,12,9.2,19.5,14.2,14.9,18
1987,10,13,9.4,18.4,13.3,14.0,18
1987,10,14,12.6,15.4,13.6,13.7,18
1987,10,15,9.6,20.4,14.9,15.7,18
1987,10,16,9.5,18.7,13.5,14.2,18
1987,10,17,10.7,16.2,13.6,14.1,18
1987,10,18,12.8,19.4,15.2,15.6,18
1987,10,19,10.0,18.0,14.1,14.7,18
1987,10,20,12.1,18.5,14.1,14.5,18
1987,10,21,10.4,18.6,13.5,14.3,18
1987,10,22,12.6,14.9,13.4,13.7,18
1987,10,23,12.6,18.0,14.0,14.4,18
1987,10,24,12.2,14.6,13.5,13.6,18
1987,10,25,12.4,18.6,14.4,14.9,18
1987,10,26,9.6,17.6,13.5,13.7,18
1987,10,27,11.5,17.2,13.9,14.3,18
1987,10,28,13.0,17.3,14.3,14.5,18
1987,10,29,12.7,17.1,13.8,14.1,18
1987,10,30,11.3,19.1,15.4,16.0,18
1987,10,31,13.3,18.4,15.8,16.3,18
