Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2021,6,1 ,2.1,0.2,s/p,s/p,2.3,2.3
2021,6,2 ,s/p,1.0,0.2,0.4,1.6,3.9
2021,6,3 ,1.1,s/p,s/p,0.7,1.8,5.7
2021,6,4 ,0.4,s/p,0.3,0.2,0.9,6.6
2021,6,5 ,,s/p,s/p,s/p,s/p,6.6
2021,6,6 ,s/p,s/p,s/p,s/p,s/p,6.6
2021,6,7 ,s/p,s/p,s/p,,s/p,6.6
2021,6,8 ,22.8,5.1,5.9,0.4,34.2,40.8
2021,6,9 ,0.9,8.7,0.2,0.1,9.9,50.7
2021,6,10 ,,0.1,0.3,0.2,0.6,51.3
2021,6,11 ,,s/p,0.1,0.2,0.3,51.6
2021,6,12 ,s/p,s/p,s/p,,s/p,51.6
2021,6,13 ,5.7,s/p,s/p,0.1,5.8,57.4
2021,6,14 ,s/p,s/p,s/p,s/p,s/p,57.4
2021,6,15 ,s/p,s/p,s/p,s/p,s/p,57.4
2021,6,16 ,s/p,s/p,s/p,,s/p,57.4
2021,6,17 ,s/p,s/p,s/p,,s/p,57.4
2021,6,18 ,s/p,s/p,s/p,s/p,s/p,57.4
2021,6,19 ,s/p,s/p,,s/p,s/p,57.4
2021,6,20 ,0.1,s/p,s/p,2.5,2.6,60.0
2021,6,21 ,6.6,4.7,3.3,0.1,14.7,74.7
2021,6,22 ,,s/p,s/p,10.4,10.4,85.1
2021,6,23 ,0.1,0.1,s/p,,0.2,85.3
2021,6,24 ,4.1,,0.1,0.9,5.1,90.4
2021,6,25 ,1.1,0.3,0.3,s/p,1.7,92.1
2021,6,26 ,0.1,,s/p,0.1,0.2,92.3
2021,6,27 ,0.1,,s/p,s/p,0.1,92.4
2021,6,28 ,,s/p,s/p,s/p,s/p,92.4
2021,6,29 ,,,s/p,s/p,s/p,92.4
2021,6,30 ,0.2,0.1,s/p,s/p,0.3,92.7
