Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2013,7,1 ,,,,,1.0,1.0
2013,7,2 ,,,,,s/p,1.0
2013,7,3 ,,,,,s/p,1.0
2013,7,4 ,,,,,2.0,3.0
2013,7,5 ,,,,,s/p,3.0
2013,7,6 ,,,,,s/p,3.0
2013,7,7 ,,,,,s/p,3.0
2013,7,8 ,,,,,1.0,4.0
2013,7,9 ,,,,,0.4,4.4
2013,7,10 ,,,,,s/p,4.4
2013,7,11 ,,,,,s/p,4.4
2013,7,12 ,,,,,s/p,4.4
2013,7,13 ,,,,,s/p,4.4
2013,7,14 ,,,,,0.6,5.0
2013,7,15 ,,,,,11.4,16.4
2013,7,16 ,,,,,55.4,71.8
2013,7,17 ,,,,,0.8,72.6
2013,7,18 ,,,,,0.0,72.6
2013,7,19 ,,,,,0.4,73.0
2013,7,20 ,,,,,0.8,73.8
2013,7,21 ,,,,,2.0,75.8
2013,7,22 ,,,,,1.2,77.0
2013,7,23 ,,,,,1.0,78.0
2013,7,24 ,,,,,s/p,78.0
2013,7,25 ,,,,,1.0,79.0
2013,7,26 ,,,,,1.8,80.8
2013,7,27 ,,,,,3.4,84.2
2013,7,28 ,,,,,s/p,84.2
2013,7,29 ,,,,,s/p,84.2
2013,7,30 ,,,,,22.2,106.4
2013,7,31 ,,,,,s/p,106.4
