Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2011,10,1 ,,,,,0.0,0.0
2011,10,2 ,,,,,s/p,s/p
2011,10,3 ,,,,,1.2,1.2
2011,10,4 ,,,,,0.4,1.6
2011,10,5 ,,,,,0.0,1.6
2011,10,6 ,,,,,s/p,1.6
2011,10,7 ,,,,,s/p,1.6
2011,10,8 ,,,,,2.4,4.0
2011,10,9 ,,,,,0.2,4.2
2011,10,10 ,,,,,1.6,5.8
2011,10,11 ,,,,,2.2,8.0
2011,10,12 ,,,,,0.6,8.6
2011,10,13 ,,,,,2.8,11.4
2011,10,14 ,,,,,0.4,11.8
2011,10,15 ,,,,,2.0,13.8
2011,10,16 ,,,,,s/p,13.8
2011,10,17 ,,,,,s/p,13.8
2011,10,18 ,,,,,0.0,13.8
2011,10,19 ,,,,,s/p,13.8
2011,10,20 ,,,,,s/p,13.8
2011,10,21 ,,,,,0.8,14.6
2011,10,22 ,,,,,41.2,55.8
2011,10,23 ,,,,,2.2,58.0
2011,10,24 ,,,,,0.0,58.0
2011,10,25 ,,,,,s/p,58.0
2011,10,26 ,,,,,1.0,59.0
2011,10,27 ,,,,,1.6,60.6
2011,10,28 ,,,,,0.0,60.6
2011,10,29 ,,,,,0.6,61.2
2011,10,30 ,,,,,s/p,61.2
2011,10,31 ,,,,,4.0,65.2
