Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2021,7,1 ,2.0,0.4,s/p,0.2,2.6,2.6
2021,7,2 ,s/p,s/p,s/p,0.2,0.2,2.8
2021,7,3 ,s/p,s/p,s/p,s/p,s/p,2.8
2021,7,4 ,s/p,s/p,s/p,s/p,s/p,2.8
2021,7,5 ,s/p,s/p,s/p,s/p,s/p,2.8
2021,7,6 ,s/p,0.1,s/p,s/p,0.1,2.9
2021,7,7 ,s/p,0.9,s/p,0.1,1.0,3.9
2021,7,8 ,0.1,15.3,0.2,0.8,16.4,20.3
2021,7,9 ,3.2,1.6,0.1,0.2,5.1,25.4
2021,7,10 ,s/p,s/p,0.1,0.2,0.3,25.7
2021,7,11 ,s/p,s/p,s/p,s/p,s/p,25.7
2021,7,12 ,s/p,s/p,s/p,s/p,s/p,25.7
2021,7,13 ,s/p,s/p,s/p,s/p,s/p,25.7
2021,7,14 ,s/p,s/p,s/p,s/p,s/p,25.7
2021,7,15 ,s/p,s/p,s/p,2.4,2.4,28.1
2021,7,16 ,1.7,0.4,s/p,s/p,2.1,30.2
2021,7,17 ,0.1,s/p,s/p,s/p,0.1,30.3
2021,7,18 ,0.2,s/p,s/p,s/p,0.2,30.5
2021,7,19 ,0.1,s/p,s/p,0.1,0.2,30.7
2021,7,20 ,0.1,s/p,0.1,0.2,0.4,31.1
2021,7,21 ,s/p,s/p,s/p,0.3,0.3,31.4
2021,7,22 ,s/p,s/p,s/p,s/p,s/p,31.4
2021,7,23 ,s/p,s/p,s/p,s/p,s/p,31.4
2021,7,24 ,s/p,s/p,0.8,8.5,9.3,40.7
2021,7,25 ,10.7,s/p,s/p,s/p,10.7,51.4
2021,7,26 ,s/p,s/p,s/p,s/p,s/p,51.4
2021,7,27 ,0.1,s/p,s/p,s/p,0.1,51.5
2021,7,28 ,0.2,s/p,s/p,s/p,0.2,51.7
2021,7,29 ,0.1,s/p,s/p,0.2,0.3,52.0
2021,7,30 ,s/p,1.9,s/p,s/p,1.9,53.9
2021,7,31 ,0.1,s/p,s/p,s/p,0.1,54.0
