Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
1997,1,1,7.8,22.2,15.0,18.6,13
1997,1,2,9.8,18.3,14.0,15.9,13
1997,1,3,12.8,17.4,15.1,15.5,13
1997,1,4,9.6,19.0,14.3,16.0,13
1997,1,5,8.2,12.0,10.1,10.1,13
1997,1,6,5.4,11.0,8.2,9.2,13
1997,1,7,6.8,15.2,11.0,11.6,13
1997,1,8,9.2,16.8,13.0,14.8,13
1997,1,9,4.6,22.4,13.5,17.8,13
1997,1,10,13.0,20.2,16.6,18.0,13
1997,1,11,13.0,17.0,15.0,14.9,13
1997,1,12,10.0,14.2,12.1,11.6,13
1997,1,13,7.4,16.4,11.9,13.7,13
1997,1,14,8.4,18.4,13.4,16.1,13
1997,1,15,5.4,22.0,13.7,17.8,13
1997,1,16,8.8,25.2,17.0,19.8,13
1997,1,17,7.6,26.4,17.0,21.7,13
1997,1,18,14.6,20.8,17.7,18.8,13
1997,1,19,12.6,19.2,15.9,16.8,13
1997,1,20,8.2,21.7,15.0,17.5,13
1997,1,21,6.8,24.0,15.4,19.7,13
1997,1,22,8.6,20.4,14.5,15.9,13
1997,1,23,9.8,17.1,13.5,13.7,13
1997,1,24,9.3,19.8,14.5,16.5,13
1997,1,25,9.8,18.4,14.1,15.5,13
1997,1,26,12.4,22.2,17.3,19.0,13
1997,1,27,8.3,28.2,18.3,22.2,13
1997,1,28,11.6,25.0,18.3,22.2,13
1997,1,29,12.4,18.3,15.3,15.4,13
1997,1,30,10.0,15.6,12.8,13.3,13
1997,1,31,9.6,16.0,12.8,13.4,13
